t_s,pkg_w,core_w,uncore_w,dram_w,psys_w,rest_w,pkg_c,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu0_bzy_mhz,cpu1_bzy_mhz,cpu2_bzy_mhz,cpu3_bzy_mhz,cpu4_bzy_mhz,cpu5_bzy_mhz,cpu6_bzy_mhz,cpu7_bzy_mhz,cpu0_busy,cpu1_busy,cpu2_busy,cpu3_busy,cpu4_busy,cpu5_busy,cpu6_busy,cpu7_busy
0.200,11.2402,10.5685,0.0000,0.2869,0.1947,0.6717,57.0,3289.8,25.4,3291.5,1.4,0.9,1.6,9.2,3.5,3383.5,2494.0,3382.3,1788.2,872.5,1681.3,903.2,1334.6,0.9723,0.0102,0.9732,0.0008,0.0010,0.0009,0.0102,0.0026
0.401,13.1341,12.1481,0.0000,0.2881,0.1929,0.9860,59.0,3510.3,28.5,3510.2,4.4,0.1,2.2,3.7,6.1,3591.0,3330.6,3591.1,3335.5,3463.7,3326.9,3455.9,3342.8,0.9775,0.0086,0.9775,0.0013,0.0000,0.0007,0.0011,0.0018
0.601,13.0591,12.0919,0.0000,0.2844,0.1923,0.9671,60.0,3501.5,28.3,3501.5,2.4,0.4,0.2,0.4,1.7,3587.0,3330.8,3587.0,3330.7,3409.2,3337.0,3583.0,3266.9,0.9762,0.0085,0.9762,0.0007,0.0001,0.0001,0.0001,0.0005
0.801,12.8946,12.1273,0.0000,0.2859,0.1910,0.7672,60.0,3503.3,28.3,3503.3,2.0,0.8,0.9,0.4,0.7,3591.1,3330.8,3591.1,3330.8,3544.2,3331.5,3398.3,3329.7,0.9755,0.0085,0.9755,0.0006,0.0002,0.0003,0.0001,0.0002
1.002,12.8225,12.1258,0.0000,0.2841,0.1901,0.6967,61.0,3503.9,26.9,3500.5,0.5,0.1,1.1,0.5,2.0,3587.7,3330.6,3587.8,3037.6,3184.1,3312.0,3439.6,3330.5,0.9766,0.0081,0.9757,0.0002,0.0000,0.0003,0.0002,0.0006
1.202,12.8387,12.0620,0.0000,0.2841,0.1920,0.7767,61.0,3506.7,25.4,3506.8,0.9,0.1,1.0,0.5,1.4,3583.8,3330.6,3583.9,3511.0,3334.6,3347.7,3436.5,3309.5,0.9785,0.0076,0.9785,0.0003,0.0000,0.0003,0.0002,0.0004
1.403,12.9373,12.1377,0.0000,0.2856,0.1938,0.7996,61.0,3516.3,23.7,3516.3,1.5,0.1,0.1,0.7,1.4,3592.5,3330.7,3592.5,3331.0,3521.5,3174.5,3367.0,3375.5,0.9788,0.0071,0.9788,0.0005,0.0000,0.0000,0.0002,0.0004
1.603,12.8695,12.1203,0.0000,0.2844,0.1929,0.7492,61.0,3515.7,22.4,3515.7,0.9,0.6,0.4,0.5,2.2,3589.1,3330.8,3589.1,3331.5,3354.4,3351.0,3454.3,3331.0,0.9796,0.0067,0.9796,0.0003,0.0002,0.0001,0.0001,0.0007
1.804,12.9605,12.1283,0.0000,0.2856,0.1926,0.8322,62.0,3517.1,22.4,3513.8,0.5,0.8,0.2,0.5,0.6,3592.7,3330.9,3592.8,3320.9,3502.7,3227.2,3451.0,3329.8,0.9789,0.0067,0.9780,0.0001,0.0002,0.0001,0.0001,0.0002
2.004,12.8967,12.1203,0.0000,0.2841,0.1962,0.7764,62.0,3544.4,16.3,3544.4,0.2,0.1,0.7,0.7,1.0,3589.7,3330.5,3589.7,3345.3,3429.7,3321.9,3418.6,3331.6,0.9874,0.0049,0.9874,0.0001,0.0000,0.0002,0.0002,0.0003
