t_s,pkg_w,core_w,uncore_w,dram_w,psys_w,rest_w,pkg_c,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu0_bzy_mhz,cpu1_bzy_mhz,cpu2_bzy_mhz,cpu3_bzy_mhz,cpu4_bzy_mhz,cpu5_bzy_mhz,cpu6_bzy_mhz,cpu7_bzy_mhz,cpu0_busy,cpu1_busy,cpu2_busy,cpu3_busy,cpu4_busy,cpu5_busy,cpu6_busy,cpu7_busy
0.200,13.3407,11.9861,0.0000,0.2872,0.1935,1.3547,60.0,3487.9,34.7,3485.3,5.4,1.2,0.2,5.9,3.3,3579.4,3333.5,3579.7,3344.6,3604.8,3628.6,3438.4,3329.1,0.9744,0.0104,0.9736,0.0016,0.0003,0.0000,0.0017,0.0010
0.400,12.9199,12.1475,0.0000,0.2841,0.1953,0.7724,62.0,3527.1,21.0,3527.6,3.9,0.6,0.1,4.5,1.9,3593.2,3326.9,3593.2,3305.1,3519.7,2769.0,3451.3,3290.6,0.9816,0.0063,0.9817,0.0012,0.0002,0.0000,0.0013,0.0006
0.601,13.0386,12.2189,0.0000,0.2866,0.1971,0.8197,62.0,3530.1,66.2,3529.8,2.1,4.9,2.5,5.3,3.4,3590.0,3330.1,3590.0,3331.3,3583.0,3331.2,3445.7,3331.5,0.9833,0.0199,0.9832,0.0006,0.0014,0.0007,0.0015,0.0010
0.801,12.9519,12.1753,0.0000,0.2835,0.1959,0.7767,63.0,3532.5,18.3,3532.2,2.4,0.8,1.1,3.1,0.9,3594.1,3330.6,3594.1,3329.8,3542.8,3329.7,3441.7,3336.7,0.9828,0.0055,0.9828,0.0007,0.0002,0.0003,0.0009,0.0003
1.002,12.9724,12.1893,0.0000,0.2936,0.1929,0.7831,63.0,3494.6,66.5,3493.4,11.1,8.4,7.0,10.8,6.0,3578.4,3330.3,3578.4,3330.0,3350.8,3330.5,3394.5,3328.6,0.9766,0.0200,0.9762,0.0033,0.0025,0.0021,0.0032,0.0018
1.202,12.9602,12.1502,0.0000,0.2838,0.1920,0.8099,63.0,3528.0,19.4,3528.0,5.3,0.6,0.1,3.3,0.8,3593.8,3330.8,3593.8,3341.2,3558.1,3333.2,3465.1,3402.8,0.9817,0.0058,0.9817,0.0016,0.0002,0.0000,0.0010,0.0002
1.403,12.9498,12.1670,0.0000,0.2835,0.1917,0.7828,63.0,3519.5,20.0,3514.9,4.4,46.6,1.4,3.3,2.4,3592.6,3330.8,3592.8,3323.1,3570.0,3326.7,3481.5,3310.1,0.9796,0.0060,0.9783,0.0013,0.0131,0.0004,0.0010,0.0007
1.603,12.9709,12.1530,0.0000,0.2847,0.1923,0.8179,63.0,3523.0,19.0,3523.0,0.9,1.0,1.0,3.1,0.7,3593.8,3330.8,3593.8,3333.9,3422.6,3155.9,3222.7,3281.4,0.9803,0.0057,0.9803,0.0003,0.0003,0.0003,0.0010,0.0002
1.804,12.9464,12.1664,0.0000,0.2838,0.1938,0.7800,64.0,3520.9,18.6,3521.2,1.2,2.0,4.0,1.5,0.7,3593.5,3332.1,3593.5,3280.2,3573.0,3439.7,4009.3,3423.7,0.9798,0.0056,0.9799,0.0004,0.0006,0.0011,0.0004,0.0002
2.004,13.0270,12.1844,0.0000,0.2917,0.1917,0.8426,63.0,3500.8,54.0,3500.8,7.6,5.6,8.5,5.6,5.2,3575.6,3332.3,3575.6,3335.9,3353.0,3328.9,3333.0,3330.4,0.9791,0.0162,0.9791,0.0023,0.0017,0.0025,0.0017,0.0016
2.205,12.8506,12.1060,0.0000,0.2832,0.1929,0.7446,63.0,3511.1,19.8,3511.1,0.6,0.4,3.2,0.6,0.5,3584.9,3325.9,3584.9,3253.0,3515.1,3332.4,3459.0,3326.0,0.9794,0.0060,0.9794,0.0002,0.0001,0.0010,0.0002,0.0001
2.405,13.1704,12.3135,0.0000,0.2975,0.1929,0.8569,64.0,3496.3,41.7,3492.4,25.9,20.8,46.6,12.3,14.2,3578.7,3330.6,3578.9,3330.5,3399.6,3330.0,3374.2,3330.6,0.9770,0.0125,0.9758,0.0078,0.0061,0.0140,0.0036,0.0043
2.605,12.9971,12.2427,0.0000,0.2905,0.1923,0.7544,64.0,3509.0,34.4,3509.0,8.8,6.9,12.3,7.5,33.4,3584.3,3331.0,3584.3,3329.8,3333.3,3330.7,3352.5,3329.9,0.9790,0.0103,0.9790,0.0026,0.0021,0.0037,0.0023,0.0100
2.806,13.0133,12.1609,0.0000,0.2853,0.1953,0.8523,64.0,3525.2,18.4,3525.2,1.0,0.6,3.4,0.6,0.6,3593.1,3333.2,3593.1,3333.6,3534.9,3330.1,3567.8,3331.4,0.9811,0.0055,0.9811,0.0003,0.0002,0.0010,0.0002,0.0002
3.006,13.0224,12.2418,0.0000,0.2896,0.1926,0.7806,64.0,3518.0,29.4,3518.0,7.6,6.0,8.8,7.3,29.7,3590.4,3330.5,3590.4,3329.8,3343.9,3330.1,3367.0,3330.1,0.9798,0.0088,0.9798,0.0023,0.0018,0.0026,0.0022,0.0089
3.207,12.8592,12.1051,0.0000,0.2835,0.1929,0.7541,64.0,3506.7,20.3,3506.7,1.8,0.8,3.2,0.7,0.4,3579.3,3328.3,3579.3,3329.6,3549.7,3330.3,3413.5,3323.5,0.9797,0.0061,0.9797,0.0006,0.0002,0.0010,0.0002,0.0001
3.407,13.0127,12.1783,0.0000,0.2856,0.1904,0.8343,64.0,3511.3,20.5,3508.9,3.3,1.6,4.8,2.7,5.2,3591.9,3330.6,3592.0,3322.6,3464.8,3330.4,3512.3,3314.5,0.9776,0.0061,0.9769,0.0010,0.0005,0.0014,0.0008,0.0016
3.608,12.9919,12.1982,0.0000,0.3143,0.1892,0.7938,64.0,3480.9,82.3,3481.0,20.4,1.8,9.8,1.5,2.2,3560.5,3329.9,3560.5,3330.4,3493.6,3329.2,3393.6,3352.2,0.9777,0.0247,0.9777,0.0061,0.0005,0.0030,0.0004,0.0006
3.808,13.0264,12.1435,0.0000,0.2875,0.1892,0.8829,64.0,3483.7,29.5,3483.7,1.9,1.0,4.4,1.0,0.8,3590.1,3331.3,3590.1,3246.9,3568.4,3332.0,3550.7,3333.5,0.9704,0.0089,0.9704,0.0006,0.0003,0.0013,0.0003,0.0002
4.009,13.0249,12.2317,0.0000,0.2942,0.1917,0.7931,64.0,3506.9,34.8,3506.9,9.6,9.9,10.2,42.8,9.7,3586.8,3329.4,3586.8,3347.0,3365.1,3330.1,3535.4,3334.7,0.9777,0.0104,0.9777,0.0029,0.0029,0.0031,0.0121,0.0029
4.209,12.9623,12.1454,0.0000,0.2850,0.1941,0.8170,64.0,3518.1,19.2,3518.1,0.7,0.7,3.8,1.3,2.1,3588.9,3333.4,3588.9,3322.3,3511.0,3330.1,3511.9,3288.4,0.9803,0.0058,0.9803,0.0002,0.0002,0.0012,0.0004,0.0006
4.410,12.9348,12.1618,0.0000,0.2856,0.1935,0.7730,65.0,3499.2,23.1,3499.2,3.0,0.6,4.3,3.8,2.5,3587.4,3331.3,3587.4,3331.3,3513.6,3330.3,3491.5,3350.5,0.9754,0.0069,0.9754,0.0009,0.0002,0.0013,0.0011,0.0007
4.610,12.9580,12.1411,0.0000,0.2838,0.1917,0.8170,65.0,3494.5,26.2,3494.6,0.2,1.6,4.1,0.6,2.6,3591.1,3330.9,3591.1,3314.0,3577.0,3330.2,3494.4,3320.3,0.9731,0.0079,0.9731,0.0001,0.0005,0.0012,0.0002,0.0008
4.811,12.9046,12.1228,0.0000,0.2835,0.1923,0.7819,64.0,3493.9,24.6,3493.8,0.5,0.8,3.3,0.6,0.7,3586.9,3332.6,3586.9,3339.0,3542.7,3330.0,3566.0,3424.5,0.9741,0.0074,0.9740,0.0002,0.0002,0.0010,0.0002,0.0002
5.011,13.0832,12.2351,0.0000,0.2924,0.1920,0.8481,64.0,3508.1,32.5,3508.1,7.4,7.0,8.7,39.8,5.8,3590.2,3329.2,3590.2,3333.3,3350.0,3330.4,3456.9,3320.6,0.9771,0.0097,0.9771,0.0022,0.0021,0.0026,0.0115,0.0017
5.212,12.8808,12.1264,0.0000,0.2847,0.1953,0.7544,65.0,3515.5,19.1,3515.5,0.6,0.1,4.1,1.3,1.0,3585.4,3329.2,3585.4,3338.9,3356.9,3329.7,3498.1,3327.3,0.9805,0.0057,0.9805,0.0002,0.0000,0.0012,0.0004,0.0003
5.412,13.0502,12.2128,0.0000,0.2838,0.1950,0.8374,65.0,3533.1,17.3,3533.1,2.4,0.5,5.3,3.6,1.6,3593.8,3332.6,3593.8,3330.3,3454.5,3330.6,3481.0,3366.6,0.9831,0.0052,0.9831,0.0007,0.0002,0.0016,0.0010,0.0005
5.613,13.3029,12.4362,0.0418,0.3046,0.1965,0.8249,65.0,3521.0,15.3,3520.9,48.6,47.4,22.0,1.0,2.3,3587.7,3330.5,3587.7,3330.1,3543.9,3330.0,3511.4,3330.7,0.9814,0.0046,0.9814,0.0146,0.0134,0.0066,0.0003,0.0007
5.813,13.4689,12.1768,0.0000,0.2908,0.1917,1.2921,65.0,3494.7,30.3,3494.7,0.5,0.7,4.3,0.8,0.5,3591.1,3332.3,3591.1,3367.9,3474.7,3330.2,3593.4,3415.2,0.9731,0.0091,0.9731,0.0001,0.0002,0.0013,0.0002,0.0002
6.014,12.9913,12.1798,0.0000,0.2921,0.1910,0.8115,65.0,3485.2,40.6,3483.8,9.5,7.7,10.5,41.0,8.0,3582.0,3328.9,3582.0,3328.2,3346.8,3330.4,3337.9,3324.5,0.9730,0.0122,0.9726,0.0028,0.0023,0.0031,0.0123,0.0024
6.214,13.0117,12.1539,0.0000,0.2856,0.1935,0.8578,65.0,3501.0,23.0,3501.1,5.3,0.6,3.3,1.6,1.5,3590.5,3331.5,3590.5,3336.8,3516.4,3330.1,3467.2,3331.6,0.9751,0.0069,0.9751,0.0016,0.0002,0.0010,0.0005,0.0005
6.414,12.9422,12.1511,0.0000,0.2838,0.1962,0.7910,65.0,3521.3,16.6,3521.3,1.8,0.3,4.6,4.5,3.1,3585.8,3328.7,3585.7,3295.9,3484.6,3330.5,3488.4,3329.3,0.9820,0.0050,0.9820,0.0005,0.0001,0.0014,0.0013,0.0009
6.615,13.0215,12.1847,0.0000,0.2863,0.1959,0.8368,65.0,3525.7,22.1,3525.6,2.2,0.3,4.9,2.4,2.4,3590.1,3330.6,3590.1,3329.8,3371.2,3330.3,3438.7,3306.2,0.9821,0.0066,0.9820,0.0007,0.0001,0.0015,0.0007,0.0007
6.815,12.9580,12.1881,0.0000,0.2835,0.1929,0.7700,65.0,3517.3,21.8,3517.3,2.1,0.3,4.0,0.1,0.9,3592.9,3333.2,3592.9,3329.5,3618.1,3329.9,3474.2,3393.8,0.9790,0.0065,0.9790,0.0006,0.0001,0.0012,0.0000,0.0003
7.016,13.0865,12.2183,0.0000,0.2924,0.1956,0.8682,65.0,3519.6,51.4,3519.6,10.6,9.3,10.3,8.6,8.6,3577.4,3329.4,3577.4,3330.2,3340.6,3330.3,3353.6,3330.7,0.9838,0.0154,0.9838,0.0032,0.0028,0.0031,0.0026,0.0026
7.216,12.9379,12.1695,0.0000,0.2835,0.1944,0.7684,65.0,3537.5,15.5,3537.5,1.8,0.1,4.1,0.8,1.5,3589.9,3330.9,3589.9,3331.3,3337.1,3329.7,3496.7,3293.8,0.9854,0.0046,0.9854,0.0005,0.0000,0.0012,0.0002,0.0005
7.417,13.0362,12.1997,0.0000,0.2853,0.1938,0.8365,65.0,3530.0,17.8,3526.8,3.1,1.1,8.5,2.7,3.7,3592.2,3331.5,3592.3,3329.3,3410.3,3330.3,3506.1,3346.2,0.9827,0.0054,0.9818,0.0009,0.0003,0.0026,0.0008,0.0011
7.617,12.9608,12.2030,0.0000,0.2835,0.1941,0.7578,66.0,3541.7,15.1,3541.7,1.1,0.8,4.8,0.7,1.2,3594.6,3332.9,3594.6,3332.9,3359.0,3330.3,3553.6,3332.5,0.9853,0.0045,0.9853,0.0003,0.0002,0.0015,0.0002,0.0004
7.818,13.0337,12.2018,0.0000,0.2850,0.1956,0.8319,65.0,3550.2,12.9,3550.2,1.7,0.3,3.8,1.2,0.7,3594.4,3331.5,3594.4,3343.3,3577.3,3330.3,3422.1,3332.0,0.9877,0.0039,0.9877,0.0005,0.0001,0.0011,0.0004,0.0002
8.018,13.0490,12.2433,0.0000,0.2905,0.1944,0.8057,65.0,3519.8,53.1,3516.4,8.5,7.1,10.5,8.2,6.5,3581.4,3329.5,3581.5,3332.3,3336.0,3330.4,3329.1,3329.0,0.9828,0.0159,0.9818,0.0025,0.0021,0.0031,0.0025,0.0020
8.219,12.9303,12.1515,0.0000,0.2832,0.1962,0.7788,66.0,3544.1,14.1,3544.1,1.1,0.1,4.0,0.3,1.5,3588.5,3331.0,3588.5,3316.9,3339.3,3329.6,3374.0,3335.0,0.9876,0.0042,0.9876,0.0003,0.0000,0.0012,0.0001,0.0004
8.419,12.9879,12.1521,0.0000,0.2863,0.1926,0.8359,65.0,3495.0,32.1,3495.0,5.8,0.8,4.8,0.5,2.2,3584.7,3329.8,3584.7,3325.6,3473.9,3330.4,3328.0,3330.9,0.9750,0.0096,0.9750,0.0018,0.0002,0.0015,0.0001,0.0006
