t_s,pkg_w,core_w,uncore_w,dram_w,psys_w,rest_w,pkg_c,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu0_bzy_mhz,cpu1_bzy_mhz,cpu2_bzy_mhz,cpu3_bzy_mhz,cpu4_bzy_mhz,cpu5_bzy_mhz,cpu6_bzy_mhz,cpu7_bzy_mhz,cpu0_busy,cpu1_busy,cpu2_busy,cpu3_busy,cpu4_busy,cpu5_busy,cpu6_busy,cpu7_busy
0.200,1.6159,0.7800,0.0000,0.2884,0.1944,0.8359,50.0,871.5,24.6,871.7,2.5,2.0,6.9,8.9,2.6,881.2,880.7,881.1,879.5,811.2,853.2,813.1,827.1,0.9890,0.0279,0.9893,0.0029,0.0025,0.0081,0.0109,0.0032
0.401,1.6022,0.7965,0.0000,0.2856,0.1929,0.8057,49.0,900.4,23.7,900.5,2.6,0.1,4.2,0.4,1.0,899.1,899.7,899.1,899.9,903.1,898.0,907.3,889.3,1.0015,0.0263,1.0015,0.0028,0.0001,0.0047,0.0004,0.0011
0.602,1.5970,0.7733,0.0168,0.3177,0.1929,0.8069,49.0,880.5,35.0,880.5,51.5,2.0,5.0,3.7,0.9,880.0,882.9,880.0,829.9,847.4,879.2,848.1,918.4,1.0006,0.0397,1.0006,0.0620,0.0023,0.0057,0.0043,0.0010
0.803,1.5158,0.7342,0.0000,0.2863,0.1944,0.7816,49.0,901.5,23.2,901.5,1.4,0.9,3.9,0.2,0.7,900.0,900.8,900.0,899.6,893.6,900.2,921.3,878.5,1.0017,0.0258,1.0017,0.0015,0.0010,0.0043,0.0002,0.0008
1.004,1.5063,0.7300,0.0000,0.2859,0.1935,0.7764,49.0,901.5,19.9,901.5,1.3,0.7,3.7,0.3,1.8,900.0,900.3,900.0,900.5,905.0,900.0,899.7,900.1,1.0017,0.0221,1.0017,0.0014,0.0008,0.0041,0.0004,0.0020
1.205,1.5182,0.7300,0.0000,0.2863,0.1935,0.7883,49.0,901.5,20.4,901.5,1.9,0.8,4.6,0.7,1.3,900.0,900.7,900.0,910.5,887.8,900.2,896.3,919.7,1.0017,0.0226,1.0017,0.0021,0.0009,0.0051,0.0008,0.0014
1.406,1.5286,0.7269,0.0000,0.2847,0.1929,0.8017,49.0,901.5,22.8,901.5,3.5,0.1,4.0,0.9,1.9,900.0,899.4,900.0,900.2,918.7,899.9,902.5,891.1,1.0017,0.0253,1.0017,0.0038,0.0001,0.0044,0.0010,0.0021
1.607,1.5207,0.7165,0.0000,0.2859,0.1953,0.8041,49.0,901.5,19.5,901.5,2.9,0.6,3.5,1.3,0.8,900.0,900.3,900.0,890.8,915.8,900.1,898.7,901.2,1.0017,0.0217,1.0017,0.0032,0.0007,0.0039,0.0015,0.0009
1.808,1.5005,0.7162,0.0000,0.2869,0.1953,0.7843,49.0,901.5,18.5,901.5,1.5,0.8,3.6,0.3,0.7,900.0,901.1,900.0,899.1,898.6,900.0,911.6,903.4,1.0017,0.0205,1.0017,0.0016,0.0009,0.0040,0.0004,0.0008
2.009,1.4960,0.7184,0.0000,0.2859,0.1947,0.7776,49.0,901.5,19.0,901.5,1.5,0.6,4.0,1.5,1.2,900.0,899.7,900.0,900.1,896.5,900.0,898.7,884.8,1.0017,0.0211,1.0017,0.0017,0.0007,0.0045,0.0017,0.0014
2.210,1.4893,0.7016,0.0000,0.2841,0.1935,0.7877,49.0,901.5,22.7,901.5,1.3,0.8,3.8,2.3,1.2,900.0,900.6,900.0,901.1,890.4,900.0,898.8,920.5,1.0017,0.0252,1.0017,0.0014,0.0009,0.0042,0.0026,0.0013
2.411,1.5076,0.7053,0.0000,0.2859,0.1947,0.8023,49.0,902.2,19.9,902.2,4.8,0.1,4.4,0.5,1.6,900.8,900.3,900.8,907.6,924.6,900.0,907.1,893.2,1.0015,0.0221,1.0015,0.0053,0.0001,0.0049,0.0005,0.0018
2.612,1.5015,0.6949,0.0000,0.2872,0.1932,0.8066,49.0,901.5,21.6,901.5,1.8,0.4,4.9,1.3,1.1,900.0,900.2,900.0,900.0,916.1,900.1,899.3,914.3,1.0017,0.0240,1.0017,0.0020,0.0005,0.0055,0.0014,0.0012
2.813,1.4734,0.6900,0.0000,0.2859,0.1935,0.7834,49.0,901.5,21.3,901.5,2.5,0.8,5.7,0.3,1.2,900.0,900.2,900.0,899.9,898.5,900.0,905.8,900.3,1.0017,0.0237,1.0017,0.0028,0.0008,0.0064,0.0003,0.0013
3.014,1.9916,0.7001,0.0000,0.2856,0.1935,1.2915,49.0,901.5,20.7,901.5,1.3,0.6,3.1,1.8,1.3,900.0,899.2,900.0,900.9,902.1,899.9,899.1,899.9,1.0017,0.0230,1.0017,0.0014,0.0007,0.0035,0.0020,0.0014
3.215,1.6208,0.8353,0.0000,0.2853,0.1935,0.7855,49.0,990.7,19.9,990.8,14.1,0.9,3.5,0.7,1.5,989.1,990.9,989.2,991.7,975.1,971.6,986.1,989.3,1.0016,0.0201,1.0016,0.0142,0.0009,0.0036,0.0007,0.0015
3.416,1.5039,0.7034,0.0000,0.2850,0.1910,0.8005,49.0,903.7,25.4,903.7,4.1,0.2,4.3,1.8,1.7,902.2,902.3,902.2,908.1,917.3,911.9,898.6,892.2,1.0016,0.0281,1.0016,0.0046,0.0002,0.0047,0.0020,0.0019
3.617,1.4954,0.6937,0.0000,0.2869,0.1935,0.8017,49.0,901.5,21.4,901.5,1.7,0.3,3.8,1.1,1.5,900.0,899.4,900.0,900.4,902.9,900.0,904.4,916.2,1.0017,0.0238,1.0017,0.0019,0.0004,0.0042,0.0013,0.0017
