t_s,pkg_w,core_w,uncore_w,dram_w,psys_w,rest_w,pkg_c,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu0_bzy_mhz,cpu1_bzy_mhz,cpu2_bzy_mhz,cpu3_bzy_mhz,cpu4_bzy_mhz,cpu5_bzy_mhz,cpu6_bzy_mhz,cpu7_bzy_mhz,cpu0_busy,cpu1_busy,cpu2_busy,cpu3_busy,cpu4_busy,cpu5_busy,cpu6_busy,cpu7_busy
0.200,13.5296,12.2570,0.0000,0.2908,0.1935,1.2726,61.0,3472.4,34.7,3481.2,42.4,9.7,41.4,7.1,9.1,3575.9,3334.4,3575.4,3328.2,3376.8,3330.1,3338.9,3333.7,0.9710,0.0104,0.9737,0.0128,0.0029,0.0124,0.0021,0.0027
0.401,12.8109,12.1402,0.0000,0.2789,0.1917,0.6708,63.0,3522.6,22.5,3522.6,0.7,6.1,0.4,0.4,1.1,3588.3,3330.7,3588.3,3330.0,3583.2,3327.8,3370.4,3330.5,0.9817,0.0068,0.9817,0.0002,0.0017,0.0001,0.0001,0.0003
0.601,12.8604,12.1334,0.0000,0.2798,0.1920,0.7269,64.0,3503.6,26.2,3503.6,0.8,0.4,0.4,0.1,0.9,3591.4,3330.8,3591.4,3333.1,3616.1,3354.5,3293.6,3265.1,0.9756,0.0079,0.9756,0.0002,0.0001,0.0001,0.0000,0.0003
0.802,12.7786,12.1203,0.0000,0.2783,0.1895,0.6583,64.0,3498.6,25.6,3498.5,1.0,0.1,1.8,0.9,1.7,3584.0,3330.7,3584.0,3328.8,3047.0,3317.2,3413.1,3365.7,0.9762,0.0077,0.9762,0.0003,0.0000,0.0006,0.0003,0.0005
1.002,12.8729,12.1481,0.0000,0.2798,0.1913,0.7248,64.0,3507.4,25.2,3507.4,0.2,0.1,0.1,0.1,0.1,3591.9,3330.8,3591.9,3336.0,3344.0,3520.4,3274.2,3292.8,0.9765,0.0076,0.9765,0.0001,0.0000,0.0000,0.0000,0.0000
1.202,13.0148,12.3318,0.0000,0.2878,0.1923,0.6830,65.0,3480.8,35.4,3480.7,40.6,8.5,43.9,3.0,9.7,3570.3,3330.4,3570.3,3322.9,3348.0,3329.9,3420.6,3331.1,0.9749,0.0106,0.9749,0.0122,0.0025,0.0132,0.0009,0.0029
1.403,12.8747,12.1124,0.0000,0.2798,0.1935,0.7623,64.0,3500.6,25.9,3500.6,0.8,0.1,0.7,0.1,1.1,3587.7,3330.9,3587.7,3760.2,3539.5,3327.9,3535.7,3270.2,0.9757,0.0078,0.9757,0.0002,0.0000,0.0002,0.0000,0.0003
1.603,12.8228,12.1661,0.0000,0.2786,0.1929,0.6567,65.0,3515.2,24.1,3515.2,1.4,1.5,0.1,0.1,0.9,3592.6,3330.7,3592.6,3330.1,3544.8,3292.6,3234.6,3402.4,0.9785,0.0072,0.9785,0.0004,0.0004,0.0000,0.0000,0.0003
1.804,12.8570,12.1179,0.0000,0.2798,0.1938,0.7391,65.0,3500.5,24.8,3500.5,1.3,0.1,1.1,0.1,1.8,3583.8,3330.7,3583.8,3328.0,3161.1,3333.4,3436.5,3330.8,0.9768,0.0075,0.9768,0.0004,0.0000,0.0003,0.0000,0.0005
2.004,12.8012,12.1389,0.0000,0.2783,0.1907,0.6622,65.0,3502.1,26.1,3502.1,0.6,0.1,0.1,0.1,0.1,3592.0,3330.7,3592.0,3269.1,3443.0,3353.9,3332.5,3732.7,0.9750,0.0078,0.9750,0.0002,0.0000,0.0000,0.0000,0.0000
2.205,13.0993,12.3642,0.0000,0.2884,0.1932,0.7352,65.0,3484.1,67.4,3484.1,37.7,14.5,4.6,6.7,7.7,3575.8,3330.3,3575.8,3333.7,3457.9,3333.7,3384.8,3324.1,0.9744,0.0202,0.9744,0.0113,0.0042,0.0014,0.0020,0.0023
2.405,12.8311,12.1319,0.0000,0.2789,0.1932,0.6992,65.0,3522.1,21.4,3522.1,0.4,0.6,0.5,0.2,1.3,3587.7,3330.7,3587.7,3102.0,3478.2,3321.9,3342.0,3329.8,0.9817,0.0064,0.9817,0.0001,0.0002,0.0002,0.0001,0.0004
2.606,12.8247,12.1487,0.0000,0.2783,0.1956,0.6760,65.0,3531.3,18.2,3531.3,0.2,1.0,0.7,0.1,1.9,3588.1,3330.8,3588.1,3365.7,3596.5,3367.1,3235.8,3331.2,0.9841,0.0055,0.9842,0.0001,0.0003,0.0002,0.0000,0.0006
2.806,12.8662,12.1380,0.0000,0.2798,0.1932,0.7282,65.0,3509.6,22.3,3509.6,0.2,0.9,1.5,0.3,0.3,3584.6,3330.8,3584.6,3319.8,3408.9,3329.3,3365.1,3540.1,0.9791,0.0067,0.9791,0.0001,0.0003,0.0005,0.0001,0.0001
3.006,12.8579,12.1829,0.0000,0.2789,0.1910,0.6751,65.0,3510.6,23.6,3510.6,5.8,1.7,0.4,0.1,1.6,3591.9,3330.8,3591.9,3329.5,3506.2,3313.3,3270.8,3292.6,0.9774,0.0071,0.9774,0.0017,0.0005,0.0001,0.0000,0.0005
3.207,13.1158,12.3788,0.0000,0.2893,0.1920,0.7370,65.0,3501.4,69.0,3501.4,28.1,16.3,13.3,5.4,8.0,3579.4,3330.2,3579.4,3330.2,3392.0,3329.7,3413.6,3323.2,0.9782,0.0207,0.9782,0.0084,0.0048,0.0040,0.0016,0.0024
3.408,12.9254,12.2140,0.0000,0.2789,0.1917,0.7114,65.0,3525.9,22.3,3525.9,1.0,0.5,0.1,0.1,45.9,3589.9,3330.7,3589.9,3326.5,3589.9,3406.6,3553.6,3331.4,0.9822,0.0067,0.9822,0.0003,0.0001,0.0000,0.0000,0.0138
3.608,12.9089,12.1679,0.0000,0.2795,0.1932,0.7410,66.0,3527.6,20.3,3527.6,0.6,0.8,0.1,0.1,0.9,3590.5,3330.7,3590.5,3337.0,3586.0,3367.9,3188.8,3325.9,0.9825,0.0061,0.9825,0.0002,0.0002,0.0000,0.0000,0.0003
3.808,12.8094,12.1377,0.0000,0.2786,0.1910,0.6717,65.0,3521.5,19.8,3521.5,0.6,0.4,1.1,0.6,0.3,3583.2,3330.8,3583.2,3337.6,3272.4,3323.0,3335.0,3328.0,0.9828,0.0060,0.9828,0.0002,0.0001,0.0003,0.0002,0.0001
4.009,12.9028,12.1606,0.0000,0.2795,0.1920,0.7422,66.0,3522.4,21.3,3522.4,0.7,0.5,0.1,0.1,1.2,3589.7,3330.8,3589.7,3325.6,3540.3,3339.0,3704.8,3329.1,0.9813,0.0064,0.9813,0.0002,0.0002,0.0000,0.0000,0.0003
4.209,13.0880,12.4124,0.0000,0.2875,0.1907,0.6757,66.0,3491.6,38.9,3491.6,41.0,11.6,40.1,4.7,8.8,3576.6,3330.3,3576.6,3330.1,3454.3,3328.6,3387.3,3330.7,0.9762,0.0117,0.9762,0.0123,0.0033,0.0121,0.0014,0.0026
4.410,12.9272,12.1692,0.0000,0.2805,0.1926,0.7581,66.0,3515.3,23.1,3515.3,1.0,0.5,1.3,0.1,1.3,3588.6,3330.9,3588.7,3331.8,3590.6,3332.7,3488.2,3333.2,0.9796,0.0069,0.9796,0.0003,0.0001,0.0004,0.0000,0.0004
4.610,12.8793,12.2101,0.0000,0.2786,0.1923,0.6692,67.0,3515.1,23.1,3515.1,1.0,1.7,0.4,0.1,0.9,3587.4,3330.7,3587.4,3329.4,3550.1,3392.1,3158.6,3328.0,0.9798,0.0069,0.9798,0.0003,0.0005,0.0001,0.0000,0.0003
4.811,12.9504,12.2061,0.0000,0.2792,0.1920,0.7443,66.0,3515.3,24.6,3515.3,2.5,1.1,0.1,0.1,2.2,3592.7,3330.9,3592.7,3330.5,3335.0,3230.9,3518.9,3303.7,0.9785,0.0074,0.9785,0.0007,0.0003,0.0000,0.0000,0.0007
5.011,13.3746,12.2000,0.0000,0.2798,0.1953,1.1746,66.0,3531.3,18.8,3531.3,0.2,0.7,0.4,0.1,1.3,3589.8,3330.6,3589.8,3317.3,3657.5,3351.0,3327.8,3429.9,0.9837,0.0057,0.9837,0.0001,0.0002,0.0001,0.0000,0.0004
5.212,13.0954,12.4292,0.0000,0.2878,0.1913,0.6662,66.0,3480.2,47.1,3480.2,47.6,16.1,32.8,7.0,9.8,3566.5,3330.3,3566.5,3330.2,3396.7,3331.0,3393.5,3324.8,0.9758,0.0141,0.9758,0.0143,0.0047,0.0098,0.0021,0.0030
5.412,13.0905,12.3245,0.0000,0.2820,0.1944,0.7660,66.0,3527.3,24.5,3527.3,0.8,5.3,1.9,2.1,2.3,3592.5,3330.9,3592.5,3329.9,3563.7,3327.0,3394.7,3330.3,0.9819,0.0073,0.9819,0.0002,0.0015,0.0006,0.0006,0.0007
5.612,12.9876,12.3205,0.0000,0.2783,0.1929,0.6671,67.0,3535.9,18.7,3535.9,0.6,0.5,0.1,0.1,0.1,3594.5,3330.8,3594.5,3168.8,3537.9,3292.4,3434.0,2932.9,0.9837,0.0056,0.9837,0.0002,0.0002,0.0000,0.0000,0.0000
5.813,12.9959,12.2619,0.0000,0.2805,0.1920,0.7340,66.0,3507.6,24.1,3507.6,0.7,2.2,1.4,0.5,4.0,3586.4,3330.7,3586.4,3502.1,3560.0,3329.1,3328.3,3345.8,0.9780,0.0072,0.9780,0.0002,0.0006,0.0004,0.0002,0.0012
6.013,12.9718,12.2989,0.0000,0.2786,0.1910,0.6729,67.0,3509.6,24.4,3509.5,1.3,1.8,0.4,0.1,1.2,3592.4,3330.5,3592.4,3330.3,3561.7,3359.8,3799.6,3372.5,0.9769,0.0073,0.9769,0.0004,0.0005,0.0001,0.0000,0.0004
6.214,13.2360,12.4969,0.0000,0.2893,0.1917,0.7391,67.0,3492.9,30.2,3492.9,42.5,13.4,40.7,4.2,7.7,3581.0,3330.7,3581.0,3330.0,3375.8,3329.4,3442.0,3325.7,0.9754,0.0091,0.9754,0.0128,0.0040,0.0122,0.0012,0.0023
6.414,12.9330,12.2497,0.0000,0.2789,0.1920,0.6833,67.0,3510.3,23.1,3505.4,0.5,0.7,0.3,0.2,1.3,3585.3,3330.8,3585.6,3323.2,3510.1,3504.3,3336.7,3256.5,0.9791,0.0069,0.9776,0.0001,0.0002,0.0001,0.0001,0.0004
6.615,13.0545,12.3147,0.0000,0.2798,0.1944,0.7397,67.0,3520.2,21.7,3520.2,0.2,0.5,0.1,0.1,0.2,3589.7,3330.8,3589.7,3344.1,3553.5,3368.8,3283.2,3916.4,0.9806,0.0065,0.9807,0.0001,0.0001,0.0000,0.0000,0.0001
6.815,13.0322,12.3663,0.0000,0.2780,0.1935,0.6659,67.0,3520.2,21.5,3520.2,1.2,0.9,0.1,0.1,1.3,3592.6,3330.7,3592.6,3332.3,3391.4,3310.4,3478.6,3319.1,0.9799,0.0064,0.9798,0.0004,0.0003,0.0000,0.0000,0.0004
