t_s,pkg_w,core_w,uncore_w,dram_w,psys_w,rest_w,pkg_c,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu0_bzy_mhz,cpu1_bzy_mhz,cpu2_bzy_mhz,cpu3_bzy_mhz,cpu4_bzy_mhz,cpu5_bzy_mhz,cpu6_bzy_mhz,cpu7_bzy_mhz,cpu0_busy,cpu1_busy,cpu2_busy,cpu3_busy,cpu4_busy,cpu5_busy,cpu6_busy,cpu7_busy
0.200,1.7642,1.0831,0.0000,0.2814,0.2014,0.6812,51.0,6.7,7.5,1388.2,4.7,2.1,0.2,4.4,2.5,1136.5,1090.5,1391.3,947.8,1026.1,1560.7,1289.1,1204.8,0.0059,0.0069,0.9977,0.0050,0.0021,0.0001,0.0034,0.0021
0.401,2.9556,2.2568,0.0000,0.2881,0.2005,0.6988,52.0,54.3,17.5,2163.6,33.1,5.2,1.8,2.6,5.2,2160.1,2160.0,2160.0,2160.0,2160.3,2157.0,2150.9,2160.3,0.0252,0.0081,1.0017,0.0153,0.0024,0.0008,0.0012,0.0024
0.602,3.0188,2.3312,0.0000,0.2872,0.1978,0.6876,52.0,30.7,121.7,2163.6,32.2,7.7,2.5,5.1,6.6,2160.2,2160.0,2160.0,2160.2,2163.3,2160.7,2164.7,2159.7,0.0142,0.0563,1.0017,0.0149,0.0036,0.0011,0.0024,0.0031
0.803,2.8409,2.1381,0.0000,0.2820,0.2032,0.7028,52.0,14.1,3.6,2173.1,1.2,33.4,3.0,0.1,2.1,2168.9,2171.5,2173.7,2170.3,2162.1,2175.4,2144.0,2175.4,0.0065,0.0017,0.9997,0.0005,0.0155,0.0014,0.0000,0.0010
1.003,2.8036,2.1139,0.0000,0.2798,0.2026,0.6897,53.0,7.3,0.8,2195.8,0.2,2.0,0.4,0.1,0.1,2217.9,2201.3,2201.0,2187.6,2239.3,2178.6,2225.8,2171.7,0.0033,0.0003,0.9976,0.0001,0.0009,0.0002,0.0000,0.0001
1.204,2.8323,2.1381,0.0000,0.2798,0.2032,0.6943,53.0,6.4,1.5,2220.0,0.2,1.4,0.4,1.6,2.2,2201.7,2231.0,2221.6,2221.3,2231.8,2274.6,2252.5,2249.2,0.0029,0.0007,0.9993,0.0001,0.0006,0.0002,0.0007,0.0010
1.405,2.8354,2.1628,0.0000,0.2786,0.2023,0.6726,52.0,6.8,1.8,2253.0,0.3,6.5,0.5,0.3,0.3,2249.6,2256.3,2249.6,2281.1,2250.1,2269.9,2252.4,2228.3,0.0030,0.0008,1.0015,0.0001,0.0029,0.0002,0.0001,0.0001
1.606,2.9617,2.2742,0.0000,0.2893,0.1996,0.6876,53.0,24.4,48.4,2183.2,34.8,7.6,2.7,5.0,6.7,2176.2,2160.7,2179.7,2210.5,2174.8,2176.7,2205.9,2177.1,0.0112,0.0224,1.0016,0.0158,0.0035,0.0013,0.0023,0.0031
1.806,2.8299,2.1426,0.0000,0.2808,0.2039,0.6873,52.0,7.7,2.1,2228.9,1.5,2.1,0.2,2.4,0.9,2198.0,2247.3,2227.5,2235.1,2236.8,2223.9,2248.0,2203.3,0.0035,0.0009,1.0007,0.0007,0.0009,0.0001,0.0011,0.0004
2.007,2.8323,2.1490,0.0000,0.2795,0.2048,0.6833,52.0,6.0,0.9,2253.1,0.5,1.4,0.2,0.1,0.1,2249.2,2248.5,2249.6,2244.3,2252.0,1524.2,2297.8,2263.3,0.0027,0.0004,1.0015,0.0002,0.0006,0.0001,0.0000,0.0001
2.208,2.8378,2.1628,0.0000,0.2786,0.2039,0.6750,52.0,6.5,1.3,2253.0,0.5,2.0,0.3,1.7,2.5,2249.4,2249.6,2249.6,2267.4,2254.7,3821.3,2254.2,2249.8,0.0029,0.0006,1.0015,0.0002,0.0009,0.0001,0.0007,0.0011
2.409,2.8403,2.1469,0.0000,0.2798,0.2032,0.6934,53.0,6.4,1.0,2253.7,0.5,1.2,0.1,1.1,0.1,2250.1,2380.6,2250.0,2235.7,2243.6,1953.2,2253.7,1993.9,0.0028,0.0004,1.0016,0.0002,0.0005,0.0001,0.0005,0.0001
2.609,2.9889,2.2925,0.0000,0.2881,0.2011,0.6964,52.0,22.5,48.4,2203.2,32.5,6.0,2.2,4.9,6.0,2180.2,2181.7,2201.5,2222.5,2167.3,2192.6,2204.2,2189.6,0.0103,0.0222,1.0008,0.0146,0.0028,0.0010,0.0022,0.0028
2.810,2.8378,2.1536,0.0000,0.2802,0.2036,0.6842,52.0,6.9,1.9,2253.8,0.2,0.9,1.7,0.3,0.3,2250.1,2250.6,2250.0,2243.5,2247.9,2250.6,2257.7,2250.5,0.0031,0.0008,1.0017,0.0001,0.0004,0.0008,0.0001,0.0001
3.011,2.8265,2.1469,0.0000,0.2783,0.2051,0.6796,53.0,5.8,0.7,2253.8,0.2,0.9,0.4,0.4,0.2,2250.0,2248.3,2250.0,2265.4,2241.3,2224.1,2217.8,2368.4,0.0026,0.0003,1.0017,0.0001,0.0004,0.0002,0.0002,0.0001
3.212,2.8537,2.1686,0.0000,0.2802,0.2048,0.6851,52.0,6.0,2.2,2252.6,0.2,0.9,0.4,2.0,2.6,2233.6,2251.2,2250.1,2247.9,2259.6,2249.8,2248.8,2247.8,0.0027,0.0010,1.0011,0.0001,0.0004,0.0002,0.0009,0.0011
3.412,2.8390,2.1503,0.0000,0.2798,0.2042,0.6888,52.0,6.5,0.5,2253.8,0.2,0.4,0.8,1.0,0.6,2250.1,2247.4,2250.0,2241.7,2249.9,2241.3,2254.8,2252.4,0.0029,0.0002,1.0017,0.0001,0.0002,0.0003,0.0004,0.0003
3.613,3.0090,2.3151,0.0000,0.2881,0.2011,0.6940,53.0,23.4,47.2,2233.5,32.9,7.2,2.6,4.7,6.2,2188.4,2176.0,2230.7,2223.9,2206.3,2225.6,2211.4,2181.4,0.0107,0.0217,1.0013,0.0148,0.0032,0.0012,0.0021,0.0028
3.814,2.8476,2.1704,0.0000,0.2792,0.2017,0.6772,53.0,9.7,2.3,2253.8,0.7,2.1,0.3,0.2,0.5,2250.2,2250.3,2250.0,2248.9,2250.1,2163.9,2286.2,2206.2,0.0043,0.0010,1.0017,0.0003,0.0009,0.0001,0.0001,0.0002
4.015,2.8500,2.1640,0.0000,0.2802,0.2023,0.6860,53.0,7.3,2.5,2253.0,0.5,1.4,0.2,5.6,0.9,2249.5,2257.5,2249.5,2245.6,2247.4,2241.4,2246.8,2253.1,0.0033,0.0011,1.0015,0.0002,0.0006,0.0001,0.0025,0.0004
4.215,2.9440,2.2568,0.0000,0.2802,0.2029,0.6873,53.0,6.0,1.5,2286.4,0.5,1.5,0.2,1.4,2.5,2281.3,2303.8,2283.0,2326.4,2316.9,2307.3,2309.2,2305.6,0.0026,0.0006,1.0015,0.0002,0.0006,0.0001,0.0006,0.0011
4.416,3.0502,2.3559,0.0000,0.2795,0.2039,0.6943,53.0,6.1,0.5,2331.8,0.2,0.7,0.2,0.1,0.1,2334.2,2338.7,2328.8,2354.1,2337.8,2353.3,2405.6,2528.4,0.0026,0.0002,1.0013,0.0001,0.0003,0.0001,0.0000,0.0001
4.617,3.0087,2.3352,0.0000,0.2884,0.1981,0.6735,53.0,24.4,48.6,2223.3,32.9,8.7,2.2,4.7,6.3,2193.3,2190.7,2223.6,2229.7,2207.8,2261.1,2224.5,2199.4,0.0111,0.0222,0.9998,0.0147,0.0040,0.0010,0.0021,0.0028
4.818,2.8607,2.1701,0.0000,0.2789,0.2017,0.6906,53.0,6.6,3.8,2253.8,0.2,1.6,2.5,0.6,2.4,2250.2,2179.3,2250.0,2255.3,2250.4,2231.3,2253.2,2260.1,0.0029,0.0017,1.0017,0.0001,0.0007,0.0011,0.0003,0.0011
5.018,2.8424,2.1506,0.0000,0.2802,0.2039,0.6918,53.0,5.6,2.2,2253.8,0.2,0.9,0.4,0.9,0.5,2250.2,2352.0,2250.0,2241.3,2251.9,2253.7,2252.0,2251.5,0.0025,0.0009,1.0017,0.0001,0.0004,0.0002,0.0004,0.0002
5.219,2.9697,2.2787,0.0000,0.2802,0.2029,0.6909,53.0,9.2,1.5,2288.8,4.6,1.8,0.5,1.4,1.7,2264.5,2335.2,2285.1,2253.0,2307.1,2279.0,2188.0,2293.7,0.0040,0.0006,1.0016,0.0021,0.0008,0.0002,0.0006,0.0007
5.420,3.0636,2.3791,0.0000,0.2798,0.2026,0.6845,53.0,6.5,1.9,2337.7,0.2,0.3,0.2,0.2,0.3,2322.9,2270.6,2334.7,2336.6,2326.6,2527.8,4142.2,2288.5,0.0028,0.0009,1.0013,0.0001,0.0001,0.0001,0.0000,0.0001
5.621,3.0569,2.3560,0.0000,0.2881,0.1987,0.7010,53.0,12.0,47.6,2232.7,35.1,18.3,3.9,4.8,6.6,2236.2,2197.9,2231.6,2222.3,2166.8,2207.0,2226.0,2196.3,0.0054,0.0216,1.0005,0.0158,0.0084,0.0018,0.0022,0.0030
5.821,3.3679,2.1536,0.0000,0.2802,0.2029,1.2143,52.0,7.6,1.7,2253.8,1.6,2.9,0.2,0.1,0.1,2250.0,2312.6,2250.0,2880.9,2251.3,2252.4,2412.5,2272.7,0.0034,0.0007,1.0017,0.0005,0.0013,0.0001,0.0000,0.0001
6.022,2.8412,2.1503,0.0000,0.2798,0.2032,0.6909,52.0,5.4,0.7,2253.8,0.8,3.1,0.2,0.1,0.1,2250.3,2250.7,2250.0,2250.2,2250.5,2252.8,2210.0,2266.2,0.0024,0.0003,1.0017,0.0004,0.0014,0.0001,0.0000,0.0001
6.223,2.9193,2.2388,0.0000,0.2802,0.2032,0.6805,53.0,6.6,1.6,2279.9,0.2,0.6,0.2,1.8,2.9,2268.9,2306.0,2276.4,2268.1,2281.5,2255.1,2310.5,2307.4,0.0029,0.0007,1.0015,0.0001,0.0003,0.0001,0.0008,0.0013
6.424,2.8613,2.1655,0.0000,0.2786,0.2005,0.6958,53.0,7.7,1.7,2253.8,0.6,8.0,0.2,0.2,0.1,2250.2,2255.5,2250.0,2246.3,2250.2,2240.4,2258.9,2238.4,0.0034,0.0008,1.0017,0.0003,0.0036,0.0001,0.0001,0.0001
6.624,3.0096,2.3157,0.0000,0.2890,0.1974,0.6940,52.0,24.1,7.3,2230.7,32.9,8.2,48.2,4.7,5.1,2188.7,2197.0,2228.1,2222.5,2195.7,2188.6,2212.6,2184.8,0.0110,0.0033,1.0011,0.0148,0.0037,0.0220,0.0021,0.0023
6.825,2.8760,2.1793,0.0000,0.2823,0.2032,0.6967,52.0,13.1,3.1,2253.0,1.2,5.5,1.6,2.0,0.1,2250.1,2248.6,2249.6,2251.2,2248.9,2248.9,2250.5,2273.6,0.0058,0.0014,1.0015,0.0005,0.0024,0.0007,0.0009,0.0001
7.026,2.8244,2.1478,0.0000,0.2783,0.2023,0.6766,52.0,6.1,1.2,2253.8,0.2,1.0,0.5,0.1,0.1,2250.2,2245.6,2250.0,2280.8,2262.8,2345.9,2254.1,2249.7,0.0027,0.0005,1.0017,0.0001,0.0004,0.0002,0.0000,0.0001
7.227,3.2474,2.2720,0.0000,0.2805,0.2032,0.9753,53.0,5.7,2.6,2291.7,0.2,4.5,0.1,1.9,0.8,2287.9,2298.1,2288.0,2297.5,2322.7,2065.1,2311.2,2302.0,0.0025,0.0011,1.0016,0.0001,0.0020,0.0001,0.0008,0.0004
