t_s,pkg_w,core_w,uncore_w,dram_w,psys_w,rest_w,pkg_c,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu0_bzy_mhz,cpu1_bzy_mhz,cpu2_bzy_mhz,cpu3_bzy_mhz,cpu4_bzy_mhz,cpu5_bzy_mhz,cpu6_bzy_mhz,cpu7_bzy_mhz,cpu0_busy,cpu1_busy,cpu2_busy,cpu3_busy,cpu4_busy,cpu5_busy,cpu6_busy,cpu7_busy
0.200,7.3492,6.7697,0.0000,0.2823,0.2048,0.5795,56.0,6.5,6.4,3402.1,3.4,2.0,0.8,0.5,3.0,2271.4,1565.0,3416.9,1424.7,1057.6,2872.4,2822.6,1795.5,0.0029,0.0041,0.9957,0.0024,0.0019,0.0003,0.0002,0.0017
0.401,8.1589,7.5485,0.0000,0.2798,0.2039,0.6103,58.0,6.0,5.3,3598.3,0.1,0.2,0.5,0.5,0.1,3574.2,3427.5,3597.7,2957.0,3237.4,3327.2,3550.6,3069.3,0.0017,0.0015,1.0002,0.0001,0.0001,0.0002,0.0001,0.0000
0.602,8.5553,7.9114,0.0000,0.3076,0.2002,0.6439,59.0,67.1,12.6,3567.5,11.3,7.4,34.2,48.7,26.6,3502.9,3352.6,3595.0,3357.0,3341.2,3395.5,3466.1,3403.8,0.0191,0.0038,0.9923,0.0034,0.0022,0.0101,0.0140,0.0078
0.803,8.1637,7.5400,0.0000,0.2805,0.2029,0.6238,59.0,7.3,2.6,3598.8,0.9,0.8,0.4,1.6,1.0,3556.9,3575.6,3599.7,3395.6,3331.0,3335.7,3500.4,3407.3,0.0020,0.0007,0.9998,0.0003,0.0002,0.0001,0.0004,0.0003
1.004,8.1686,7.5372,0.0000,0.2798,0.2039,0.6314,59.0,7.4,1.5,3600.0,0.2,0.1,0.6,0.7,0.4,3564.1,3527.4,3599.6,3297.1,3707.4,3323.7,3598.6,3509.8,0.0021,0.0004,1.0001,0.0001,0.0000,0.0002,0.0002,0.0001
1.204,8.2614,7.6254,0.0000,0.2808,0.2042,0.6360,59.0,19.5,2.1,3588.5,3.0,2.4,2.9,2.1,0.7,3554.2,3364.7,3598.4,3420.4,3531.5,3354.0,3437.7,3462.1,0.0055,0.0006,0.9972,0.0009,0.0007,0.0009,0.0006,0.0002
1.405,8.1097,7.5180,0.0000,0.2783,0.2029,0.5917,59.0,6.6,1.4,3602.1,0.2,0.3,0.3,1.5,0.9,3561.5,3312.5,3599.7,3239.7,3098.9,3331.5,3583.0,3459.7,0.0018,0.0004,1.0007,0.0001,0.0001,0.0001,0.0004,0.0003
1.606,8.7210,7.9812,0.0000,0.3107,0.2008,0.7397,59.0,57.8,29.5,3562.0,16.4,7.7,33.3,10.1,53.8,3390.7,3449.0,3593.5,3405.7,3343.8,3384.1,3424.2,3425.3,0.0170,0.0085,0.9912,0.0048,0.0023,0.0098,0.0029,0.0157
1.807,8.2269,7.5223,0.0000,0.2786,0.2032,0.7046,59.0,3.6,6.1,3593.8,0.4,0.3,0.4,1.9,0.6,3538.4,3460.5,3594.4,3327.5,3373.9,3567.2,3583.3,3456.4,0.0010,0.0018,0.9998,0.0001,0.0001,0.0001,0.0005,0.0002
2.008,8.2330,7.5433,0.0000,0.2798,0.2039,0.6897,59.0,4.3,6.7,3596.2,0.1,0.1,0.2,1.9,0.7,3579.7,3491.4,3594.5,3336.3,3422.3,3530.5,3581.7,3540.9,0.0012,0.0019,1.0005,0.0000,0.0000,0.0001,0.0005,0.0002
