t_s,pkg_w,core_w,uncore_w,dram_w,psys_w,rest_w,pkg_c,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu0_bzy_mhz,cpu1_bzy_mhz,cpu2_bzy_mhz,cpu3_bzy_mhz,cpu4_bzy_mhz,cpu5_bzy_mhz,cpu6_bzy_mhz,cpu7_bzy_mhz,cpu0_busy,cpu1_busy,cpu2_busy,cpu3_busy,cpu4_busy,cpu5_busy,cpu6_busy,cpu7_busy
0.200,8.3020,7.5848,0.0000,0.2826,0.2039,0.7172,59.0,4.4,6.2,3583.4,4.3,4.0,1.4,8.5,0.7,3541.9,3461.2,3599.2,3364.4,3480.6,3364.9,3454.3,3328.2,0.0012,0.0018,0.9956,0.0013,0.0011,0.0004,0.0025,0.0002
0.401,8.3743,7.6617,0.0000,0.2820,0.2014,0.7126,61.0,10.8,5.9,3588.6,46.6,1.3,0.4,1.3,0.5,3516.1,3458.5,3595.0,3480.2,3327.0,3259.8,3303.3,3238.8,0.0031,0.0017,0.9982,0.0134,0.0004,0.0001,0.0004,0.0001
0.602,8.6145,7.9178,0.0000,0.2887,0.2002,0.6967,61.0,54.7,14.7,3565.7,8.9,13.0,14.8,2.4,32.3,3502.6,3446.3,3595.6,3418.4,3452.9,3422.8,3530.1,3478.5,0.0156,0.0043,0.9917,0.0026,0.0038,0.0043,0.0007,0.0093
0.803,8.2416,7.5754,0.0000,0.2808,0.2002,0.6662,62.0,4.4,6.9,3589.4,5.2,1.2,1.5,1.7,0.3,3517.4,3477.8,3596.7,3498.9,3327.8,3254.2,3375.2,3320.8,0.0012,0.0020,0.9980,0.0015,0.0004,0.0005,0.0005,0.0001
1.004,8.2629,7.5485,0.0000,0.2798,0.2029,0.7144,62.0,4.6,6.2,3594.6,2.5,0.7,0.2,0.8,0.1,3517.3,3470.2,3598.1,3527.2,3418.2,5285.7,3567.5,3344.2,0.0013,0.0018,0.9990,0.0007,0.0002,0.0000,0.0002,0.0000
1.205,8.2635,7.5741,0.0000,0.2798,0.2029,0.6894,62.0,4.3,4.4,3597.4,2.0,1.9,0.3,0.1,0.1,3522.4,3472.4,3598.0,3363.9,3570.4,3337.3,3493.3,3342.2,0.0012,0.0013,0.9998,0.0006,0.0005,0.0001,0.0000,0.0000
1.405,8.2419,7.5259,0.0000,0.2795,0.2026,0.7159,61.0,4.4,5.4,3598.0,1.4,0.4,0.1,0.8,0.1,3555.6,3490.3,3598.1,3488.2,3480.9,3361.3,3571.8,3312.8,0.0012,0.0015,1.0000,0.0004,0.0001,0.0000,0.0002,0.0000
1.606,8.6429,7.9373,0.0000,0.2875,0.1990,0.7056,62.0,25.7,8.7,3560.9,51.9,38.3,16.3,6.0,0.9,3464.1,3451.5,3591.3,3511.3,3518.7,3438.9,3444.7,3340.0,0.0074,0.0025,0.9915,0.0148,0.0109,0.0047,0.0017,0.0003
1.807,8.2626,7.5595,0.0000,0.2811,0.2039,0.7031,62.0,8.5,2.3,3595.9,2.3,0.8,0.3,1.3,3.0,3524.4,3558.1,3599.6,3561.4,3425.7,3341.4,3489.6,3515.9,0.0024,0.0006,0.9990,0.0006,0.0002,0.0001,0.0004,0.0009
2.008,8.2333,7.5351,0.0000,0.2798,0.2057,0.6982,62.0,9.2,0.5,3601.1,0.9,0.2,0.2,0.7,0.1,3572.1,3595.0,3599.8,3413.3,3114.5,3286.9,3580.3,3764.4,0.0026,0.0001,1.0004,0.0003,0.0001,0.0001,0.0002,0.0000
