t_s,pkg_w,core_w,uncore_w,dram_w,psys_w,rest_w,pkg_c,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu0_bzy_mhz,cpu1_bzy_mhz,cpu2_bzy_mhz,cpu3_bzy_mhz,cpu4_bzy_mhz,cpu5_bzy_mhz,cpu6_bzy_mhz,cpu7_bzy_mhz,cpu0_busy,cpu1_busy,cpu2_busy,cpu3_busy,cpu4_busy,cpu5_busy,cpu6_busy,cpu7_busy
0.200,1.8289,0.6320,0.0000,0.2826,0.2039,1.1969,48.0,7.9,2.2,1020.3,0.1,0.7,6.1,2.0,8.8,936.8,915.2,1029.0,901.5,1083.4,1050.2,917.4,818.3,0.0085,0.0024,0.9916,0.0002,0.0006,0.0058,0.0022,0.0108
0.402,1.4041,0.7147,0.0000,0.2905,0.2005,0.6894,49.0,52.9,4.2,1071.4,48.9,29.0,21.8,4.6,1.4,932.3,969.3,1070.2,985.8,1009.7,987.6,1024.9,1014.6,0.0568,0.0044,1.0011,0.0496,0.0287,0.0221,0.0045,0.0013
0.603,1.3202,0.6338,0.0000,0.2820,0.2029,0.6863,48.0,5.9,1.6,1076.9,1.3,1.3,5.2,0.1,0.1,1054.0,1080.4,1075.2,979.2,1012.6,1062.7,1043.5,942.0,0.0056,0.0015,1.0016,0.0014,0.0013,0.0049,0.0001,0.0001
0.804,1.3431,0.6537,0.0000,0.2795,0.2029,0.6894,48.0,3.0,3.9,1141.6,0.1,1.6,5.6,0.1,0.4,1120.1,1143.9,1139.9,1082.5,1147.3,1096.2,1163.0,1144.8,0.0027,0.0034,1.0015,0.0001,0.0014,0.0051,0.0001,0.0004
1.006,1.3467,0.6702,0.0000,0.2798,0.2051,0.6766,48.0,3.1,1.5,1170.9,0.1,0.8,4.7,0.1,0.3,1157.8,1152.0,1169.0,1159.4,1113.4,1156.2,1121.8,1079.8,0.0027,0.0013,1.0016,0.0001,0.0007,0.0041,0.0001,0.0003
1.207,1.3525,0.6696,0.0000,0.2798,0.2039,0.6830,49.0,4.0,1.2,1172.0,0.1,0.1,3.8,0.6,0.6,1156.8,1204.3,1170.0,1157.4,1834.3,1170.1,1164.9,1173.8,0.0035,0.0010,1.0017,0.0001,0.0001,0.0033,0.0005,0.0005
1.408,1.3882,0.7092,0.0000,0.2917,0.2032,0.6790,49.0,9.7,4.4,1134.4,6.5,27.8,21.3,5.5,43.3,1066.9,1127.7,1132.7,1042.8,1061.7,1031.5,1107.6,1062.3,0.0091,0.0039,1.0014,0.0062,0.0262,0.0206,0.0050,0.0408
1.609,1.3351,0.6448,0.0000,0.2802,0.2039,0.6903,49.0,3.1,2.4,1140.0,0.2,0.7,4.8,0.1,0.1,1145.0,1115.4,1138.5,1249.1,1126.6,1150.2,1184.7,1170.6,0.0027,0.0022,1.0013,0.0002,0.0006,0.0042,0.0001,0.0001
1.811,1.3672,0.6876,0.0000,0.2905,0.2023,0.6796,49.0,9.4,10.9,1139.8,6.4,8.8,31.0,7.8,7.2,1099.4,1124.5,1138.3,1102.2,1112.5,1094.9,1088.0,1107.1,0.0085,0.0097,1.0013,0.0058,0.0079,0.0283,0.0072,0.0065
2.012,1.3361,0.6601,0.0000,0.2805,0.2057,0.6760,48.0,3.0,2.0,1151.1,1.2,1.9,4.4,0.1,0.4,1156.7,1169.0,1149.5,1168.2,1161.7,1158.5,1190.9,1166.7,0.0026,0.0017,1.0015,0.0010,0.0016,0.0038,0.0001,0.0003
2.213,1.3647,0.6830,0.0000,0.2814,0.2048,0.6818,49.0,3.6,1.0,1216.3,0.1,0.6,4.4,1.1,2.8,1198.9,1219.7,1215.2,1161.3,1186.7,1207.2,1215.7,1206.5,0.0030,0.0008,1.0009,0.0001,0.0005,0.0036,0.0009,0.0023
