t_s,pkg_w,core_w,uncore_w,dram_w,psys_w,rest_w,pkg_c,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu0_bzy_mhz,cpu1_bzy_mhz,cpu2_bzy_mhz,cpu3_bzy_mhz,cpu4_bzy_mhz,cpu5_bzy_mhz,cpu6_bzy_mhz,cpu7_bzy_mhz,cpu0_busy,cpu1_busy,cpu2_busy,cpu3_busy,cpu4_busy,cpu5_busy,cpu6_busy,cpu7_busy
0.200,11.6180,10.9878,0.0000,0.2814,0.1935,0.6302,59.0,3324.1,24.3,3323.8,1.1,3.6,3.5,7.7,12.0,3419.9,2839.9,3426.7,1704.3,1249.2,2560.3,1822.4,1028.9,0.9720,0.0086,0.9700,0.0006,0.0029,0.0014,0.0042,0.0117
0.401,13.0386,12.3321,0.0000,0.2872,0.1935,0.7065,61.0,3498.8,37.4,3498.8,50.0,3.3,32.1,6.5,3.9,3584.8,3333.4,3584.8,3331.4,3462.7,3333.2,3417.0,3331.1,0.9760,0.0112,0.9760,0.0150,0.0009,0.0096,0.0019,0.0012
0.601,12.8271,12.1682,0.0000,0.2795,0.1917,0.6589,62.0,3507.8,24.7,3507.8,2.5,1.9,2.6,5.7,1.1,3592.4,3326.3,3592.4,3303.5,3556.2,3293.7,3506.5,3329.2,0.9765,0.0074,0.9764,0.0007,0.0005,0.0008,0.0016,0.0003
0.801,12.8601,12.1267,0.0000,0.2805,0.1907,0.7333,62.0,3500.1,23.5,3497.1,0.5,2.8,0.2,4.6,0.7,3592.3,3330.9,3592.6,3337.7,3551.7,3231.4,3489.1,3333.9,0.9743,0.0071,0.9734,0.0002,0.0008,0.0001,0.0013,0.0002
1.002,12.8183,12.1515,0.0000,0.2786,0.1889,0.6668,63.0,3514.3,21.3,3514.3,1.1,1.1,1.2,3.3,1.5,3593.3,3330.8,3593.3,3332.0,3495.7,3342.9,3466.5,3364.0,0.9780,0.0064,0.9780,0.0003,0.0003,0.0004,0.0009,0.0005
1.202,12.8265,12.1774,0.0000,0.2805,0.1910,0.6491,63.0,3509.8,23.0,3509.8,0.6,1.7,2.7,3.8,2.9,3592.2,3329.5,3592.2,3320.8,3413.4,3339.8,3445.3,3304.5,0.9771,0.0069,0.9771,0.0002,0.0005,0.0008,0.0011,0.0009
1.403,13.0804,12.3498,0.0000,0.2859,0.1913,0.7306,63.0,3511.2,33.2,3511.2,50.0,4.8,32.2,6.5,2.5,3585.9,3333.5,3585.9,3331.6,3445.5,3332.3,3384.4,3330.6,0.9792,0.0100,0.9792,0.0150,0.0014,0.0097,0.0019,0.0008
1.603,12.8524,12.1753,0.0000,0.2786,0.1929,0.6772,63.0,3519.8,22.8,3519.8,1.9,1.2,2.5,3.0,0.2,3593.4,3326.4,3593.4,3292.2,3525.4,3301.6,3476.2,3981.2,0.9795,0.0068,0.9795,0.0006,0.0003,0.0008,0.0009,0.0000
1.804,12.8878,12.1649,0.0000,0.2805,0.1938,0.7230,63.0,3524.4,19.3,3524.4,0.3,5.2,0.1,5.0,2.1,3593.7,3327.1,3593.7,3323.0,3528.8,3184.8,3490.0,3291.8,0.9807,0.0058,0.9807,0.0001,0.0015,0.0000,0.0014,0.0007
2.004,12.8442,12.1634,0.0000,0.2789,0.1926,0.6808,63.0,3522.4,19.6,3522.3,0.1,5.3,0.2,3.3,1.2,3593.8,3338.4,3593.8,3318.3,3572.6,3334.5,3483.0,3432.9,0.9801,0.0059,0.9801,0.0000,0.0015,0.0000,0.0009,0.0004
2.204,13.0954,12.3745,0.0000,0.2875,0.1926,0.7208,63.0,3497.3,38.2,3497.3,49.5,5.6,34.0,7.5,4.4,3584.4,3329.1,3584.4,3329.9,3430.9,3329.8,3396.6,3308.4,0.9757,0.0115,0.9757,0.0149,0.0016,0.0102,0.0022,0.0013
2.405,13.0001,12.3352,0.0000,0.2856,0.1923,0.6650,64.0,3497.8,35.9,3497.8,49.0,5.1,30.3,6.8,2.4,3585.2,3332.0,3585.2,3331.8,3410.3,3333.7,3425.3,3332.0,0.9756,0.0108,0.9756,0.0147,0.0015,0.0091,0.0020,0.0007
2.605,12.9068,12.1936,0.0000,0.2805,0.1913,0.7132,64.0,3512.1,24.4,3512.1,1.7,1.1,3.4,5.6,0.6,3592.9,3328.6,3592.9,3283.4,3371.0,3302.7,3504.3,3319.9,0.9775,0.0073,0.9775,0.0005,0.0003,0.0010,0.0016,0.0002
2.806,12.8436,12.1862,0.0000,0.2789,0.1938,0.6574,64.0,3527.0,17.6,3527.0,0.2,2.1,0.4,4.6,2.4,3594.0,3330.9,3593.9,3347.4,3541.9,3325.7,3492.0,3332.9,0.9814,0.0053,0.9814,0.0000,0.0006,0.0001,0.0013,0.0007
3.006,13.0371,12.3413,0.0000,0.2850,0.1923,0.6958,64.0,3484.0,32.7,3485.8,0.1,11.7,1.9,55.9,51.7,3585.9,3330.5,3585.8,3311.5,3467.0,3343.4,3540.9,3330.5,0.9716,0.0098,0.9721,0.0000,0.0034,0.0006,0.0158,0.0155
3.207,12.9110,12.1847,0.0000,0.2792,0.1910,0.7263,64.0,3501.7,26.8,3501.7,0.1,4.0,2.3,4.6,2.1,3591.8,3327.7,3591.8,3364.3,3494.1,3319.7,3450.5,3318.2,0.9749,0.0081,0.9749,0.0000,0.0011,0.0007,0.0013,0.0006
3.407,13.1042,12.4347,0.0000,0.2896,0.1920,0.6696,65.0,3496.7,42.4,3496.6,18.3,11.7,8.5,42.8,51.4,3585.1,3333.5,3585.1,3330.3,3435.9,3330.1,3536.1,3331.4,0.9753,0.0127,0.9753,0.0055,0.0034,0.0026,0.0121,0.0154
3.608,13.4478,12.1982,0.0000,0.2811,0.1938,1.2497,64.0,3504.5,28.2,3504.5,0.1,4.0,0.2,4.5,3.4,3592.2,3328.1,3592.2,3173.8,3571.3,3336.1,3500.7,3312.2,0.9756,0.0085,0.9756,0.0000,0.0011,0.0000,0.0013,0.0010
3.808,12.8579,12.1905,0.0000,0.2795,0.1932,0.6674,64.0,3504.8,24.1,3504.8,5.5,4.0,2.9,3.3,1.7,3591.7,3330.8,3591.7,3335.5,3510.4,3341.5,3482.1,3328.8,0.9758,0.0072,0.9758,0.0017,0.0011,0.0009,0.0009,0.0005
4.008,12.9184,12.1673,0.0000,0.2802,0.1920,0.7510,64.0,3506.7,23.7,3505.1,0.3,2.1,0.1,3.7,0.7,3592.9,3330.8,3592.9,3399.7,3601.6,2903.7,3465.3,3339.7,0.9760,0.0071,0.9756,0.0001,0.0006,0.0001,0.0011,0.0002
4.209,12.8689,12.2162,0.0000,0.2792,0.1932,0.6528,65.0,3523.5,19.4,3523.5,0.1,4.0,2.7,5.8,1.5,3593.6,3332.1,3593.6,3311.4,3466.7,3356.6,3436.4,3306.8,0.9805,0.0058,0.9805,0.0000,0.0011,0.0008,0.0017,0.0004
4.409,13.1335,12.4124,0.0000,0.2878,0.1932,0.7211,65.0,3509.4,19.6,3509.3,50.8,3.5,14.8,42.0,1.9,3587.8,3330.6,3587.8,3331.9,3471.8,3336.8,3542.4,3363.8,0.9781,0.0059,0.9781,0.0152,0.0010,0.0044,0.0119,0.0006
4.610,12.9022,12.2232,0.0000,0.2789,0.1898,0.6790,65.0,3500.4,26.8,3500.4,1.6,2.2,0.9,4.1,0.8,3592.0,3329.8,3592.0,3259.3,3562.6,3254.5,3453.6,3259.5,0.9745,0.0080,0.9745,0.0005,0.0006,0.0003,0.0012,0.0003
4.810,12.9095,12.2332,0.0000,0.2786,0.1913,0.6763,65.0,3508.0,21.4,3508.1,0.1,3.2,0.1,4.7,0.9,3593.1,3332.3,3593.1,3472.9,3576.5,3170.7,3495.6,3331.6,0.9763,0.0064,0.9763,0.0000,0.0009,0.0000,0.0014,0.0003
5.011,12.9989,12.2528,0.0000,0.2802,0.1910,0.7462,65.0,3501.3,23.9,3498.0,0.2,2.2,0.1,3.3,6.2,3591.9,3330.6,3592.1,3331.3,3550.6,3296.4,3478.7,3330.1,0.9748,0.0072,0.9738,0.0001,0.0006,0.0000,0.0010,0.0019
5.211,12.9141,12.2442,0.0000,0.2789,0.1910,0.6699,65.0,3500.7,24.2,3500.6,0.3,2.4,2.7,4.1,0.6,3592.3,3331.0,3592.3,3244.7,3545.4,3321.7,3442.1,3327.5,0.9745,0.0073,0.9745,0.0001,0.0007,0.0008,0.0012,0.0002
5.411,13.1530,12.4331,0.0000,0.2881,0.1920,0.7199,65.0,3493.0,68.1,3493.0,17.9,37.8,4.5,9.4,1.3,3586.6,3331.9,3586.6,3330.5,3538.8,3317.5,3404.8,3287.3,0.9739,0.0205,0.9739,0.0054,0.0107,0.0013,0.0028,0.0004
5.612,12.9910,12.3220,0.0000,0.2792,0.1895,0.6689,65.0,3502.2,27.3,3502.2,2.4,3.3,1.1,3.1,0.6,3592.0,3325.5,3592.0,3329.3,3494.6,3385.7,3472.8,3464.2,0.9750,0.0082,0.9750,0.0007,0.0009,0.0003,0.0009,0.0002
5.812,12.9498,12.2809,0.0000,0.2786,0.1892,0.6689,65.0,3509.0,21.2,3509.0,0.1,2.5,1.0,4.6,0.7,3593.0,3334.8,3593.0,3315.3,3559.5,3353.0,3482.8,3297.4,0.9766,0.0064,0.9766,0.0000,0.0007,0.0003,0.0013,0.0002
6.013,13.0432,12.2982,0.0000,0.2798,0.1910,0.7449,65.0,3516.8,19.3,3516.8,0.1,2.1,0.8,3.2,0.8,3593.5,3328.2,3593.5,3330.5,3569.8,3305.5,3406.8,3329.7,0.9787,0.0058,0.9786,0.0000,0.0006,0.0003,0.0009,0.0002
6.213,13.0435,12.3727,0.0000,0.2789,0.1907,0.6708,66.0,3530.2,17.6,3530.2,0.1,2.5,1.4,4.8,0.8,3594.2,3329.4,3594.2,3327.3,3507.8,3329.5,3419.9,3334.9,0.9822,0.0053,0.9822,0.0000,0.0007,0.0004,0.0014,0.0003
6.414,13.2708,12.5433,0.0000,0.2875,0.1904,0.7275,65.0,3517.0,61.6,3517.0,18.6,37.5,3.8,7.6,2.2,3586.7,3332.0,3586.7,3337.0,3508.5,3336.6,3420.1,3341.6,0.9806,0.0185,0.9806,0.0056,0.0107,0.0011,0.0022,0.0007
6.614,13.4497,12.2924,0.0000,0.2795,0.1877,1.1572,65.0,3494.3,28.7,3494.4,1.4,2.3,1.1,5.8,2.1,3587.9,3326.8,3587.8,3239.7,3518.3,3332.4,3497.7,3331.2,0.9739,0.0086,0.9739,0.0004,0.0007,0.0003,0.0017,0.0006
6.814,13.0606,12.2986,0.0000,0.2805,0.1886,0.7620,66.0,3495.2,25.5,3495.2,5.2,3.3,1.1,4.8,0.1,3587.8,3330.6,3587.9,3330.1,3570.0,3319.1,3496.4,3327.9,0.9742,0.0076,0.9742,0.0015,0.0009,0.0003,0.0014,0.0000
7.015,13.0160,12.3327,0.0000,0.2786,0.1886,0.6833,66.0,3502.4,24.0,3502.4,0.1,2.2,0.6,3.1,0.1,3589.1,3333.9,3589.1,3320.0,3521.3,3353.5,3471.7,3323.7,0.9759,0.0072,0.9758,0.0000,0.0006,0.0002,0.0009,0.0000
7.215,13.0886,12.4148,0.0000,0.2789,0.1923,0.6738,66.0,3518.2,20.4,3518.2,0.1,5.1,3.1,4.4,0.9,3593.3,3328.5,3593.3,3360.7,3485.2,3330.1,3449.3,3326.9,0.9791,0.0061,0.9791,0.0000,0.0015,0.0009,0.0013,0.0003
7.416,13.2824,12.5613,0.0000,0.2875,0.1917,0.7211,66.0,3500.3,66.1,3500.3,18.8,38.3,2.4,7.3,2.3,3587.0,3331.4,3587.0,3330.0,3538.6,3329.4,3397.2,3319.4,0.9758,0.0198,0.9758,0.0056,0.0108,0.0007,0.0021,0.0007
7.616,13.1463,12.4594,0.0000,0.2808,0.1907,0.6869,66.0,3494.2,69.9,3493.8,1.1,4.6,2.4,3.2,0.8,3588.3,3329.2,3588.3,3329.7,3413.3,3331.8,3467.0,3355.5,0.9738,0.0210,0.9737,0.0003,0.0013,0.0007,0.0009,0.0002
7.817,13.1247,12.3956,0.0000,0.2798,0.1917,0.7291,66.0,3509.6,21.5,3509.6,0.1,2.5,1.2,4.8,1.1,3593.0,3330.8,3593.0,3334.7,3488.2,3328.5,3498.8,3316.0,0.9768,0.0064,0.9768,0.0000,0.0007,0.0004,0.0014,0.0003
8.017,13.0709,12.3794,0.0000,0.2789,0.1923,0.6915,66.0,3511.2,21.4,3508.4,0.1,1.5,0.1,3.7,1.1,3592.9,3333.2,3593.2,3325.3,3538.6,3300.8,3475.1,3327.1,0.9773,0.0064,0.9764,0.0000,0.0004,0.0000,0.0011,0.0003
8.218,13.1497,12.4102,0.0000,0.2805,0.1923,0.7394,66.0,3506.3,22.5,3506.2,0.1,1.4,2.3,5.9,2.1,3592.4,3326.0,3592.4,3232.8,3401.1,3334.6,3416.2,3343.9,0.9760,0.0068,0.9760,0.0000,0.0004,0.0007,0.0017,0.0006
8.418,13.2547,12.5836,0.0000,0.2866,0.1892,0.6711,66.0,3498.4,65.8,3497.8,18.8,40.3,2.6,6.5,3.7,3587.1,3331.9,3587.1,3331.2,3552.1,3325.9,3416.7,3329.8,0.9753,0.0197,0.9751,0.0057,0.0114,0.0008,0.0019,0.0011
8.618,13.4259,12.3986,0.0000,0.2811,0.1929,1.0272,66.0,3508.5,25.7,3509.0,0.3,3.6,1.4,3.1,3.8,3592.4,3327.8,3592.4,3318.7,3434.9,3329.8,3471.0,3336.5,0.9767,0.0077,0.9768,0.0001,0.0011,0.0004,0.0009,0.0011
8.819,13.4015,12.5070,0.0000,0.2835,0.1898,0.8945,66.0,3491.2,35.4,3491.2,9.1,10.5,6.5,14.9,15.9,3587.5,3329.8,3587.5,3330.3,3513.0,3331.5,3484.8,3329.1,0.9732,0.0106,0.9732,0.0027,0.0030,0.0020,0.0043,0.0048
9.019,13.0609,12.3733,0.0000,0.2789,0.1892,0.6876,66.0,3490.5,26.2,3489.0,0.1,2.2,1.5,3.3,2.4,3591.2,3332.0,3591.3,3346.4,3536.5,3332.5,3480.7,3331.1,0.9719,0.0079,0.9715,0.0000,0.0006,0.0005,0.0010,0.0007
9.220,13.1509,12.4075,0.0000,0.2802,0.1892,0.7434,66.0,3500.2,24.2,3500.2,0.1,1.5,2.4,3.9,1.5,3591.9,3334.0,3591.9,3323.0,3477.6,3318.8,3442.0,3314.8,0.9745,0.0072,0.9745,0.0000,0.0004,0.0007,0.0011,0.0004
9.420,13.3307,12.6495,0.0000,0.2896,0.1886,0.6812,67.0,3484.9,76.0,3484.9,18.9,49.1,7.0,6.8,18.1,3583.7,3330.6,3583.7,3330.1,3536.6,3334.0,3417.7,3329.9,0.9724,0.0228,0.9724,0.0057,0.0139,0.0021,0.0020,0.0054
9.621,13.1540,12.4066,0.0000,0.2814,0.1904,0.7474,66.0,3496.2,29.0,3489.3,2.0,1.5,1.2,3.2,1.1,3591.4,3328.1,3591.5,3331.7,3468.0,3312.8,3412.1,3331.2,0.9735,0.0087,0.9716,0.0006,0.0004,0.0004,0.0009,0.0003
9.821,13.0783,12.4139,0.0000,0.2783,0.1901,0.6644,66.0,3502.3,22.9,3502.2,1.0,3.9,0.7,4.1,0.8,3592.3,3333.1,3592.4,3331.0,3569.8,3324.5,3481.0,3336.2,0.9749,0.0069,0.9749,0.0003,0.0011,0.0002,0.0012,0.0002
10.022,13.1494,12.4041,0.0000,0.2805,0.1904,0.7452,66.0,3500.2,24.8,3495.6,0.2,1.9,6.3,3.4,0.7,3591.3,3325.4,3591.6,3329.9,3432.9,3330.9,3477.9,3323.0,0.9746,0.0074,0.9733,0.0001,0.0006,0.0019,0.0010,0.0002
10.222,13.1277,12.4319,0.0000,0.2792,0.1926,0.6958,67.0,3514.1,21.5,3514.1,0.1,2.5,2.5,4.9,1.4,3593.1,3333.5,3593.1,3331.2,3466.3,3327.6,3429.6,3332.2,0.9780,0.0065,0.9780,0.0000,0.0007,0.0008,0.0014,0.0004
10.422,13.3667,12.6287,0.0000,0.2881,0.1923,0.7379,67.0,3505.1,65.7,3505.1,4.5,39.7,1.7,12.7,15.3,3587.8,3332.4,3587.8,3335.9,3557.7,3367.4,3462.1,3331.0,0.9769,0.0197,0.9769,0.0013,0.0112,0.0005,0.0037,0.0046
10.623,13.0771,12.4008,0.0000,0.2789,0.1901,0.6763,67.0,3493.9,30.0,3493.9,0.5,1.6,1.0,4.7,0.7,3591.6,3325.8,3591.6,3333.5,3503.0,3270.8,3530.6,3352.2,0.9728,0.0090,0.9728,0.0001,0.0005,0.0003,0.0013,0.0002
