t_s,pkg_w,core_w,uncore_w,dram_w,psys_w,rest_w,pkg_c,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu0_bzy_mhz,cpu1_bzy_mhz,cpu2_bzy_mhz,cpu3_bzy_mhz,cpu4_bzy_mhz,cpu5_bzy_mhz,cpu6_bzy_mhz,cpu7_bzy_mhz,cpu0_busy,cpu1_busy,cpu2_busy,cpu3_busy,cpu4_busy,cpu5_busy,cpu6_busy,cpu7_busy
0.200,7.4774,6.8176,0.0000,0.2808,0.2039,0.6598,58.0,3398.7,7.2,2.8,0.1,3.8,0.9,2.4,8.6,3436.8,1627.4,888.7,1857.8,1161.9,3086.2,843.3,868.0,0.9889,0.0044,0.0031,0.0001,0.0033,0.0003,0.0028,0.0099
0.401,8.5797,7.8860,0.0000,0.2875,0.2029,0.6937,59.0,3565.3,10.5,4.8,8.4,3.8,15.6,49.0,35.5,3596.3,3447.6,3389.2,3493.3,3575.3,3425.6,3525.5,3518.6,0.9914,0.0030,0.0014,0.0024,0.0011,0.0045,0.0139,0.0101
0.601,8.3044,7.5915,0.0000,0.2823,0.2029,0.7129,60.0,3599.3,11.5,2.9,0.8,3.2,3.6,0.1,1.8,3599.4,3569.7,3451.9,3424.7,3586.5,3595.5,3039.4,3529.5,1.0000,0.0032,0.0009,0.0002,0.0009,0.0010,0.0000,0.0005
0.802,8.1872,7.5287,0.0000,0.2789,0.2026,0.6586,60.0,3602.2,6.4,0.8,0.3,1.0,0.5,2.8,0.2,3599.5,3539.0,3327.1,3417.9,3612.5,3546.0,3399.4,3307.3,1.0007,0.0018,0.0002,0.0001,0.0003,0.0001,0.0008,0.0001
1.003,8.2611,7.5192,0.0000,0.2805,0.2026,0.7419,60.0,3599.5,6.2,0.9,0.3,0.7,0.4,1.3,0.5,3599.6,3534.1,3412.4,2374.9,3477.9,3583.5,3427.3,3721.7,1.0000,0.0017,0.0003,0.0001,0.0002,0.0001,0.0004,0.0001
1.203,8.2974,7.5909,0.0000,0.2829,0.2029,0.7065,61.0,3594.3,7.3,25.7,2.6,1.9,2.5,0.6,3.3,3595.1,3435.7,3551.3,3547.4,3538.6,3451.4,3415.7,3336.0,0.9998,0.0021,0.0072,0.0007,0.0005,0.0007,0.0002,0.0010
1.404,8.4222,7.7524,0.0000,0.2847,0.1996,0.6699,60.0,3578.7,11.2,10.3,6.0,4.1,16.0,2.7,46.2,3595.5,3396.5,3323.2,3499.3,3519.1,3441.1,3339.0,3428.2,0.9953,0.0033,0.0031,0.0017,0.0012,0.0047,0.0008,0.0135
1.605,8.3514,7.5403,0.0000,0.2808,0.2042,0.8112,60.0,3598.9,6.7,1.1,1.1,1.1,0.3,1.5,0.5,3599.6,3539.3,3460.0,3386.3,3542.6,3323.3,3518.5,3517.2,0.9998,0.0019,0.0003,0.0003,0.0003,0.0001,0.0004,0.0001
1.805,8.5827,7.5119,0.0000,0.2795,0.2036,1.0709,60.0,3599.2,4.8,0.2,0.2,0.9,0.6,0.5,0.3,3599.2,3536.7,3379.5,3673.4,3590.7,3586.2,3490.2,3568.7,1.0000,0.0014,0.0001,0.0001,0.0003,0.0002,0.0002,0.0001
2.006,8.3008,7.5744,0.0000,0.2795,0.2017,0.7263,60.0,3597.1,8.5,0.9,0.4,7.3,0.8,2.2,0.8,3599.0,3465.3,3474.3,3234.0,3595.2,3576.1,3575.7,3286.6,0.9995,0.0024,0.0003,0.0001,0.0020,0.0002,0.0006,0.0002
