t_s,pkg_w,core_w,uncore_w,dram_w,psys_w,rest_w,pkg_c,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu0_bzy_mhz,cpu1_bzy_mhz,cpu2_bzy_mhz,cpu3_bzy_mhz,cpu4_bzy_mhz,cpu5_bzy_mhz,cpu6_bzy_mhz,cpu7_bzy_mhz,cpu0_busy,cpu1_busy,cpu2_busy,cpu3_busy,cpu4_busy,cpu5_busy,cpu6_busy,cpu7_busy
0.202,0.4828,0.0635,0.0000,0.2850,0.0659,0.4193,49.0,5.1,0.8,0.4,1.6,1.7,6.6,5.8,4.0,880.1,872.2,866.3,901.9,885.9,898.6,846.6,893.8,0.0058,0.0009,0.0005,0.0017,0.0019,0.0074,0.0069,0.0044
0.404,0.5490,0.0537,0.0000,0.2826,0.0738,0.4953,49.0,3.5,1.8,1.7,0.2,1.6,4.6,5.5,2.0,819.2,814.0,809.7,745.0,881.6,856.1,797.7,817.5,0.0043,0.0022,0.0021,0.0002,0.0018,0.0053,0.0069,0.0024
0.606,0.4498,0.0479,0.0000,0.2805,0.0330,0.4019,49.0,4.6,0.2,1.2,0.5,1.9,1.7,7.6,1.3,805.5,817.6,813.8,817.1,807.4,793.2,805.3,808.4,0.0057,0.0002,0.0015,0.0006,0.0023,0.0021,0.0094,0.0016
0.808,0.5926,0.1834,0.0000,0.2872,0.0342,0.4092,50.0,6.2,0.2,2.1,4.1,8.3,44.9,19.6,30.4,1008.3,1624.5,833.9,1825.1,1513.4,1199.6,1991.7,977.2,0.0062,0.0001,0.0025,0.0022,0.0055,0.0374,0.0098,0.0311
1.011,0.4980,0.0821,0.0000,0.2808,0.0232,0.4160,49.0,3.2,0.2,0.5,0.2,0.7,5.2,4.1,5.2,980.9,1062.3,1209.2,874.6,917.2,1202.1,945.8,1174.3,0.0033,0.0002,0.0004,0.0002,0.0007,0.0043,0.0043,0.0044
1.213,0.8554,0.0513,0.0000,0.2844,0.1193,0.8041,49.0,8.6,0.9,2.7,0.5,0.4,2.1,0.2,3.9,884.9,902.0,895.4,931.6,928.0,885.3,573.5,903.0,0.0097,0.0010,0.0030,0.0005,0.0004,0.0024,0.0003,0.0044
1.415,0.6222,0.0519,0.0000,0.2817,0.0549,0.5704,50.0,7.5,2.3,2.0,2.3,2.4,2.6,0.1,1.4,845.9,814.6,805.7,805.0,836.2,812.1,822.4,812.9,0.0089,0.0029,0.0025,0.0028,0.0029,0.0032,0.0002,0.0017
1.618,0.5612,0.0537,0.0000,0.2829,0.0574,0.5075,49.0,6.1,1.7,0.2,1.4,3.8,2.3,0.2,1.0,813.6,810.8,813.8,810.5,814.2,814.2,858.3,799.3,0.0075,0.0020,0.0002,0.0018,0.0046,0.0028,0.0002,0.0013
1.820,0.6155,0.2087,0.0000,0.2896,0.0369,0.4068,49.0,9.1,5.7,13.8,3.6,51.5,2.9,0.1,33.9,1041.7,1272.8,2027.6,1024.8,2089.7,1210.7,1006.7,1012.2,0.0087,0.0044,0.0068,0.0035,0.0247,0.0024,0.0001,0.0335
2.023,0.4187,0.0400,0.0000,0.2808,0.0192,0.3787,49.0,5.9,1.3,0.2,0.8,1.0,2.5,0.3,2.7,964.1,901.7,904.1,951.2,915.1,946.4,887.8,934.2,0.0061,0.0014,0.0002,0.0008,0.0011,0.0027,0.0004,0.0029
