t_s,pkg_w,core_w,uncore_w,dram_w,psys_w,rest_w,pkg_c,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu0_bzy_mhz,cpu1_bzy_mhz,cpu2_bzy_mhz,cpu3_bzy_mhz,cpu4_bzy_mhz,cpu5_bzy_mhz,cpu6_bzy_mhz,cpu7_bzy_mhz,cpu0_busy,cpu1_busy,cpu2_busy,cpu3_busy,cpu4_busy,cpu5_busy,cpu6_busy,cpu7_busy
0.200,11.4792,10.8450,0.0000,0.2811,0.1926,0.6342,62.0,29.7,0.1,3307.0,3308.4,2.0,7.5,8.4,2.3,2743.5,2035.2,3413.2,3413.1,1395.7,1826.0,859.2,838.5,0.0108,0.0001,0.9689,0.9693,0.0014,0.0041,0.0098,0.0027
0.401,13.1814,12.4777,0.0000,0.2978,0.1910,0.7037,64.0,50.4,18.7,3482.4,3482.5,54.8,55.7,13.9,49.7,3327.8,3330.5,3569.6,3569.7,3331.8,3330.0,3343.3,3520.6,0.0151,0.0056,0.9756,0.9756,0.0165,0.0167,0.0041,0.0141
0.602,12.8885,12.1743,0.0000,0.2814,0.1917,0.7141,64.0,44.4,1.1,3485.9,3485.9,3.8,5.4,1.1,1.7,3334.3,3338.2,3581.8,3581.8,3350.8,3331.6,3470.3,3342.4,0.0133,0.0003,0.9732,0.9732,0.0011,0.0016,0.0003,0.0005
0.802,12.8170,12.1612,0.0000,0.2786,0.1920,0.6558,65.0,29.2,0.6,3492.9,3496.4,1.4,6.7,0.3,0.6,3328.8,3326.8,3585.9,3585.6,3293.0,3330.0,3375.7,3453.7,0.0088,0.0002,0.9741,0.9751,0.0004,0.0020,0.0001,0.0002
1.003,12.8662,12.1402,0.0000,0.2802,0.1895,0.7260,65.0,27.4,0.6,3501.9,3501.9,1.9,3.2,0.3,0.6,3333.7,3316.3,3583.5,3583.5,3333.1,3330.2,3381.9,3346.7,0.0082,0.0002,0.9772,0.9772,0.0006,0.0010,0.0001,0.0002
1.203,12.8195,12.1542,0.0000,0.2802,0.1932,0.6653,65.0,67.2,0.4,3506.9,3506.9,1.1,4.7,0.3,0.1,3330.1,3344.3,3581.7,3581.7,3331.9,3330.5,3412.4,3188.0,0.0202,0.0001,0.9791,0.9791,0.0003,0.0014,0.0001,0.0000
1.404,13.0963,12.3880,0.0000,0.2881,0.1917,0.7083,66.0,70.7,21.9,3495.1,3495.1,5.8,35.4,4.2,1.0,3329.3,3330.5,3576.8,3576.8,3330.6,3330.1,3355.7,3322.1,0.0212,0.0066,0.9772,0.9772,0.0017,0.0106,0.0013,0.0003
1.605,12.8940,12.1829,0.0000,0.2786,0.1920,0.7111,66.0,28.4,0.8,3498.7,3498.7,2.6,4.5,1.6,1.6,3333.7,3344.9,3582.9,3582.9,3291.6,3283.7,3510.5,3485.2,0.0085,0.0002,0.9765,0.9765,0.0008,0.0014,0.0005,0.0004
1.806,12.9031,12.2061,0.0000,0.2802,0.1938,0.6970,66.0,19.6,5.9,3531.4,3531.3,2.7,0.7,0.3,0.3,3326.3,3368.6,3590.7,3590.7,3372.0,3348.4,3336.8,3386.5,0.0059,0.0018,0.9835,0.9835,0.0008,0.0002,0.0001,0.0001
2.007,12.9028,12.1951,0.0000,0.2798,0.1944,0.7077,66.0,20.3,5.0,3525.9,3526.0,1.7,0.5,0.8,0.1,3330.5,3330.4,3588.0,3588.1,3325.6,3320.8,3471.4,3348.8,0.0061,0.0015,0.9827,0.9827,0.0005,0.0002,0.0002,0.0000
2.207,12.8555,12.1621,0.0000,0.2805,0.1935,0.6934,66.0,21.2,4.7,3522.8,3522.8,1.5,1.1,1.0,0.1,3330.8,3330.1,3583.8,3583.8,3330.2,3324.7,3422.8,2929.1,0.0064,0.0014,0.9830,0.9830,0.0005,0.0003,0.0003,0.0000
2.408,13.1707,12.4948,0.0000,0.2902,0.1898,0.6760,66.0,73.8,30.5,3489.3,3489.3,13.5,38.9,14.3,3.0,3330.3,3330.0,3576.8,3576.8,3331.2,3330.4,3414.7,3378.8,0.0221,0.0092,0.9755,0.9755,0.0041,0.0117,0.0042,0.0009
2.609,12.9055,12.2009,0.0000,0.2811,0.1898,0.7046,67.0,35.0,5.2,3487.1,3487.1,4.5,1.2,5.1,1.6,3327.4,3301.5,3580.7,3580.7,3323.0,3341.9,3446.9,3506.2,0.0105,0.0016,0.9739,0.9739,0.0014,0.0004,0.0015,0.0005
2.810,12.9416,12.2073,0.0000,0.2805,0.1913,0.7343,67.0,33.0,0.5,3513.0,3513.1,1.6,1.8,2.6,0.1,3337.9,3140.1,3583.0,3583.1,3291.7,3273.9,3434.8,3422.0,0.0099,0.0002,0.9805,0.9805,0.0005,0.0005,0.0008,0.0000
3.010,12.9266,12.2488,0.0000,0.2789,0.1913,0.6778,67.0,23.6,0.4,3527.6,3527.6,2.4,1.2,3.9,0.1,3330.7,3324.6,3593.2,3593.2,3353.5,3302.1,3490.4,3296.4,0.0071,0.0001,0.9817,0.9817,0.0007,0.0004,0.0011,0.0000
3.211,12.9290,12.2049,0.0000,0.2798,0.1910,0.7242,67.0,23.8,0.6,3524.4,3524.3,1.0,1.5,0.1,0.1,3330.7,3332.5,3589.3,3589.3,3334.2,3352.7,3010.9,3298.4,0.0071,0.0002,0.9819,0.9819,0.0003,0.0005,0.0000,0.0000
3.411,13.1485,12.4572,0.0000,0.2872,0.1889,0.6912,67.0,73.0,21.8,3487.1,3487.1,8.0,32.8,4.9,1.1,3330.2,3330.0,3578.9,3578.9,3341.7,3333.1,3425.1,3374.3,0.0219,0.0065,0.9743,0.9743,0.0024,0.0098,0.0014,0.0003
