t_s,pkg_w,core_w,uncore_w,dram_w,psys_w,rest_w,pkg_c,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu0_bzy_mhz,cpu1_bzy_mhz,cpu2_bzy_mhz,cpu3_bzy_mhz,cpu4_bzy_mhz,cpu5_bzy_mhz,cpu6_bzy_mhz,cpu7_bzy_mhz,cpu0_busy,cpu1_busy,cpu2_busy,cpu3_busy,cpu4_busy,cpu5_busy,cpu6_busy,cpu7_busy
0.200,16.5341,15.8795,0.0000,0.2826,0.1901,0.6546,64.0,3323.0,72.1,3331.0,3324.6,3.2,1.2,3304.0,3326.6,3330.0,3332.3,3330.0,3329.9,3359.6,3429.5,3330.0,3330.0,0.9979,0.0216,1.0003,0.9984,0.0009,0.0004,0.9922,0.9990
0.400,16.8502,16.1795,0.0000,0.2869,0.1932,0.6708,66.0,3335.6,60.3,3335.6,3335.7,9.9,53.1,3335.6,3335.6,3330.0,3330.2,3330.0,3330.1,3331.6,3331.5,3330.0,3330.0,1.0017,0.0181,1.0017,1.0017,0.0030,0.0159,1.0017,1.0017
0.601,16.7465,16.0073,0.0000,0.2811,0.1913,0.7391,66.0,3335.6,22.1,3335.6,3335.6,0.7,2.8,3335.6,3335.6,3330.0,3330.9,3330.0,3330.0,3386.0,3303.2,3330.0,3330.0,1.0017,0.0066,1.0017,1.0017,0.0002,0.0008,1.0017,1.0017
0.801,17.1362,16.0083,0.0000,0.2789,0.1904,1.1279,67.0,3335.6,21.2,3335.6,3335.6,2.4,1.9,3335.6,3335.6,3330.0,3330.9,3330.0,3330.0,3297.8,3328.7,3330.0,3330.0,1.0017,0.0064,1.0017,1.0017,0.0007,0.0006,1.0017,1.0017
1.001,16.7199,15.9930,0.0000,0.2783,0.1874,0.7269,67.0,3335.6,21.6,3335.6,3335.6,1.0,2.2,3335.6,3335.6,3330.0,3330.9,3330.0,3330.0,3345.6,3323.7,3330.0,3330.0,1.0017,0.0065,1.0017,1.0017,0.0003,0.0007,1.0017,1.0017
1.201,16.7508,16.0476,0.0000,0.2795,0.1892,0.7031,67.0,3335.6,25.5,3335.6,3335.6,2.9,3.3,3335.6,3335.6,3330.0,3330.7,3330.0,3330.0,3335.8,3335.3,3330.0,3330.0,1.0017,0.0077,1.0017,1.0017,0.0009,0.0010,1.0017,1.0017
1.402,17.0806,16.3269,0.0000,0.2887,0.1910,0.7538,67.0,3335.6,71.5,3335.6,3335.6,45.9,21.9,3335.6,3335.6,3330.0,3330.3,3330.0,3330.0,3331.5,3327.5,3330.0,3330.0,1.0017,0.0215,1.0017,1.0017,0.0138,0.0066,1.0017,1.0017
1.602,16.7153,16.0431,0.0000,0.2786,0.1877,0.6723,67.0,3335.6,23.8,3335.6,3335.6,1.2,0.3,3335.6,3335.6,3330.0,3330.9,3330.0,3330.0,3284.8,3311.3,3330.0,3330.0,1.0017,0.0071,1.0017,1.0017,0.0004,0.0001,1.0017,1.0017
1.802,16.7456,16.0723,0.0000,0.2786,0.1871,0.6732,68.0,3335.6,24.0,3335.6,3335.6,1.1,0.7,3335.6,3335.6,3330.0,3330.8,3330.0,3330.0,3310.5,3394.0,3330.0,3330.0,1.0017,0.0072,1.0017,1.0017,0.0003,0.0002,1.0017,1.0017
2.002,16.6903,16.0070,0.0000,0.2786,0.1892,0.6833,67.0,3335.6,23.6,3335.6,3335.6,1.0,1.0,3335.6,3335.6,3330.0,3330.7,3330.0,3330.0,3344.7,3327.3,3330.0,3330.0,1.0017,0.0071,1.0017,1.0017,0.0003,0.0003,1.0017,1.0017
2.203,17.0947,16.3119,0.0000,0.2881,0.1904,0.7828,68.0,3335.6,63.6,3335.6,3335.6,18.2,44.1,3335.6,3335.6,3330.0,3330.2,3330.0,3330.0,3332.7,3329.1,3330.0,3330.0,1.0017,0.0191,1.0017,1.0017,0.0055,0.0133,1.0017,1.0017
2.403,17.0562,16.3864,0.0000,0.2859,0.1874,0.6699,68.0,3335.6,65.2,3335.6,3335.6,15.9,47.7,3335.6,3335.6,3330.0,3330.5,3330.0,3330.0,3327.3,3333.5,3330.0,3330.0,1.0017,0.0196,1.0017,1.0017,0.0048,0.0143,1.0017,1.0017
2.603,16.7175,16.0418,0.0000,0.2786,0.1901,0.6757,68.0,3335.6,18.6,3335.6,3335.6,0.7,0.7,3335.6,3335.6,3330.0,3330.9,3330.0,3330.0,3279.3,3154.6,3330.0,3330.0,1.0017,0.0056,1.0017,1.0017,0.0002,0.0002,1.0017,1.0017
2.804,16.9339,16.1789,0.0000,0.2811,0.1910,0.7550,69.0,3335.6,23.2,3335.6,3335.6,1.7,5.2,3335.6,3335.6,3330.0,3330.6,3330.0,3330.0,3329.1,3330.0,3330.0,3330.0,1.0017,0.0070,1.0017,1.0017,0.0005,0.0016,1.0017,1.0017
3.004,16.8090,16.1413,0.0000,0.2783,0.1886,0.6677,69.0,3335.6,22.7,3335.6,3335.6,2.2,0.8,3335.6,3335.6,3330.0,3331.0,3330.0,3330.0,3329.1,3330.7,3330.0,3330.0,1.0017,0.0068,1.0017,1.0017,0.0007,0.0002,1.0017,1.0017
3.204,16.8463,16.1581,0.0000,0.2789,0.1898,0.6882,69.0,3335.6,22.7,3335.6,3335.6,2.4,1.6,3335.6,3335.6,3330.0,3331.0,3330.0,3330.0,3344.4,3334.5,3330.0,3330.0,1.0017,0.0068,1.0017,1.0017,0.0007,0.0005,1.0017,1.0017
3.404,17.1102,16.3986,0.0000,0.2893,0.1917,0.7117,69.0,3335.6,88.7,3335.6,3335.6,64.3,52.0,3335.6,3335.6,3330.0,3330.1,3330.0,3330.0,3330.6,3331.1,3330.0,3330.0,1.0017,0.0266,1.0017,1.0017,0.0193,0.0156,1.0017,1.0017
3.605,16.7666,16.0757,0.0000,0.2789,0.1910,0.6909,69.0,3335.6,26.1,3335.6,3335.6,0.9,0.6,3335.6,3335.6,3330.0,3330.8,3330.0,3330.0,3274.4,3243.7,3330.0,3330.0,1.0017,0.0078,1.0017,1.0017,0.0003,0.0002,1.0017,1.0017
