t_s,pkg_w,core_w,uncore_w,dram_w,psys_w,rest_w,pkg_c,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu0_bzy_mhz,cpu1_bzy_mhz,cpu2_bzy_mhz,cpu3_bzy_mhz,cpu4_bzy_mhz,cpu5_bzy_mhz,cpu6_bzy_mhz,cpu7_bzy_mhz,cpu0_busy,cpu1_busy,cpu2_busy,cpu3_busy,cpu4_busy,cpu5_busy,cpu6_busy,cpu7_busy
0.200,8.3041,7.5726,0.0000,0.2826,0.2039,0.7315,60.0,3582.4,4.7,1.8,8.5,1.3,6.9,3.7,0.2,3599.2,3496.2,3611.2,3337.7,3625.1,3522.5,3351.0,3827.4,0.9953,0.0013,0.0005,0.0026,0.0004,0.0020,0.0011,0.0000
0.401,8.5519,7.8946,0.0000,0.2872,0.2020,0.6573,61.0,3571.7,18.6,8.2,4.3,3.0,9.0,46.5,30.6,3595.4,3355.4,3532.7,3415.7,3590.8,3380.1,3505.9,3490.0,0.9934,0.0055,0.0023,0.0013,0.0008,0.0027,0.0133,0.0088
0.601,8.5831,7.8552,0.0000,0.2863,0.2005,0.7278,61.0,3569.4,9.7,6.4,1.8,1.8,50.9,16.9,28.1,3595.9,3391.9,3415.2,3322.7,3500.3,3509.6,3397.3,3521.8,0.9926,0.0029,0.0019,0.0006,0.0005,0.0145,0.0050,0.0080
0.802,8.2525,7.5393,0.0000,0.2805,0.2029,0.7132,61.0,3599.5,1.7,1.8,0.4,2.8,4.9,0.1,0.7,3599.6,3551.5,3534.8,3252.2,3610.1,3539.4,3205.2,3269.4,1.0000,0.0005,0.0005,0.0001,0.0008,0.0014,0.0000,0.0002
1.003,8.2293,7.5561,0.0000,0.2786,0.2011,0.6732,61.0,3601.8,1.8,0.9,0.2,1.6,4.8,1.2,0.4,3599.6,3635.7,3542.6,3652.0,3506.9,3499.0,3447.4,3550.7,1.0006,0.0005,0.0003,0.0001,0.0005,0.0014,0.0003,0.0001
1.203,8.2470,7.5284,0.0000,0.2802,0.2029,0.7187,61.0,3601.7,1.7,2.2,0.9,0.9,3.9,0.1,0.4,3599.6,3438.5,3441.2,3400.1,3519.7,3506.2,3016.2,3462.7,1.0006,0.0005,0.0006,0.0003,0.0003,0.0011,0.0000,0.0001
1.404,8.5843,7.8735,0.0000,0.2872,0.2008,0.7107,62.0,3571.3,7.3,6.9,3.3,4.6,48.0,16.0,29.0,3596.3,3409.7,3369.9,3397.2,3464.1,3505.0,3429.7,3526.6,0.9930,0.0021,0.0020,0.0010,0.0013,0.0137,0.0047,0.0082
1.605,8.2010,7.5250,0.0000,0.2792,0.2042,0.6760,61.0,3602.5,3.8,2.2,0.2,2.0,3.8,0.2,1.2,3599.5,3432.1,3404.6,3375.7,3582.0,3510.6,3548.4,3566.8,1.0008,0.0011,0.0007,0.0001,0.0006,0.0011,0.0001,0.0003
1.805,8.2403,7.5387,0.0000,0.2798,0.2045,0.7016,62.0,3599.2,1.6,1.3,0.2,2.3,4.1,0.2,1.2,3599.7,3596.3,3551.8,3356.9,3582.3,3521.8,3610.4,3520.1,0.9998,0.0004,0.0004,0.0001,0.0006,0.0012,0.0001,0.0004
2.006,8.2525,7.5332,0.0000,0.2798,0.2054,0.7193,62.0,3600.0,1.7,1.0,0.4,0.8,4.3,0.3,0.3,3599.7,3592.4,3509.0,3388.8,3602.7,3520.1,3488.1,3336.0,1.0001,0.0005,0.0003,0.0001,0.0002,0.0012,0.0001,0.0001
