t_s,pkg_w,core_w,uncore_w,dram_w,psys_w,rest_w,pkg_c,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu0_bzy_mhz,cpu1_bzy_mhz,cpu2_bzy_mhz,cpu3_bzy_mhz,cpu4_bzy_mhz,cpu5_bzy_mhz,cpu6_bzy_mhz,cpu7_bzy_mhz,cpu0_busy,cpu1_busy,cpu2_busy,cpu3_busy,cpu4_busy,cpu5_busy,cpu6_busy,cpu7_busy
0.201,0.7614,0.2881,0.0000,0.2789,0.0684,0.4733,50.0,7.6,4.2,1.9,0.9,7.4,1.6,10.8,0.2,3048.1,3097.9,2332.9,3280.0,3532.1,2249.3,3264.8,3004.0,0.0025,0.0014,0.0008,0.0003,0.0021,0.0007,0.0033,0.0001
0.404,0.7172,0.2200,0.0000,0.2814,0.0952,0.4971,50.0,5.4,4.5,4.9,2.8,2.8,0.2,6.9,0.5,3582.7,3512.6,3502.3,3410.5,3429.5,3468.9,3533.7,3212.9,0.0015,0.0013,0.0014,0.0008,0.0008,0.0000,0.0019,0.0002
0.607,1.0907,0.6430,0.0000,0.2905,0.0479,0.4477,50.0,20.5,33.6,10.7,43.6,2.6,3.8,14.1,3.6,3252.9,3570.8,3493.4,3561.3,3543.3,3385.5,3517.0,3373.3,0.0063,0.0094,0.0031,0.0122,0.0007,0.0011,0.0040,0.0011
0.809,0.9482,0.2890,0.0000,0.2856,0.1624,0.6592,50.0,9.4,4.2,0.8,0.1,4.6,3.5,14.5,5.1,2966.5,3437.7,3550.7,2847.5,3497.4,3564.0,3260.4,3540.8,0.0032,0.0012,0.0002,0.0001,0.0013,0.0010,0.0044,0.0014
1.011,0.8258,0.3192,0.0000,0.2826,0.0989,0.5066,51.0,5.5,2.8,3.3,0.2,4.4,6.8,7.7,8.3,3355.6,3603.1,3552.6,3313.9,3530.1,3098.6,3166.6,3543.3,0.0016,0.0008,0.0009,0.0000,0.0012,0.0022,0.0024,0.0023
1.213,1.0104,0.3744,0.0000,0.2847,0.1880,0.6360,50.0,10.4,54.2,0.9,2.7,4.4,1.8,12.8,0.2,3297.4,3583.3,3569.7,3434.5,3515.9,3514.1,2917.6,3310.1,0.0031,0.0151,0.0002,0.0008,0.0013,0.0005,0.0044,0.0001
1.416,0.7642,0.2399,0.0000,0.2829,0.0833,0.5243,49.0,7.4,5.9,4.1,0.4,3.2,0.2,12.4,1.2,3396.7,3528.3,3531.0,3671.6,3496.0,3106.7,3362.0,3358.4,0.0022,0.0017,0.0011,0.0001,0.0009,0.0001,0.0037,0.0004
1.619,1.2231,0.7474,0.0000,0.2927,0.0623,0.4758,50.0,23.5,33.3,8.8,3.5,7.4,2.5,15.9,43.5,3274.4,3562.8,3538.7,3436.0,3602.7,3421.5,3071.8,3565.4,0.0072,0.0093,0.0025,0.0010,0.0021,0.0007,0.0052,0.0122
1.820,0.7733,0.2078,0.0000,0.2798,0.1321,0.5655,50.0,9.7,3.7,0.6,0.2,4.4,0.2,10.5,0.8,3398.6,3498.6,3520.3,3188.1,3501.2,3405.5,3520.1,3387.3,0.0029,0.0011,0.0002,0.0000,0.0013,0.0001,0.0030,0.0002
2.022,0.6723,0.2179,0.0000,0.2811,0.0961,0.4544,50.0,5.5,0.6,2.9,2.2,5.8,8.7,10.4,0.1,2927.8,3474.2,3594.7,3444.1,3482.0,3533.2,3504.3,2967.1,0.0019,0.0002,0.0008,0.0006,0.0017,0.0025,0.0030,0.0001
