t_s,pkg_w,core_w,uncore_w,dram_w,psys_w,rest_w,pkg_c,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu0_bzy_mhz,cpu1_bzy_mhz,cpu2_bzy_mhz,cpu3_bzy_mhz,cpu4_bzy_mhz,cpu5_bzy_mhz,cpu6_bzy_mhz,cpu7_bzy_mhz,cpu0_busy,cpu1_busy,cpu2_busy,cpu3_busy,cpu4_busy,cpu5_busy,cpu6_busy,cpu7_busy
0.200,12.7234,12.0425,0.0000,0.2795,0.1923,0.6808,63.0,34.0,2.9,3496.5,3497.7,7.1,0.9,0.8,1.5,3370.9,3344.4,3585.6,3585.5,3373.7,3357.3,3394.3,3496.4,0.0101,0.0009,0.9751,0.9755,0.0021,0.0003,0.0002,0.0004
0.400,13.0404,12.2946,0.0000,0.2878,0.1935,0.7458,64.0,26.7,14.6,3505.5,3505.6,47.1,8.0,2.2,35.7,3330.6,3331.1,3578.3,3578.3,3329.9,3330.1,3482.0,3487.8,0.0080,0.0044,0.9797,0.9797,0.0142,0.0024,0.0006,0.0102
0.601,12.8085,12.1072,0.0000,0.2786,0.1907,0.7013,65.0,25.6,0.7,3507.7,3508.8,6.2,0.6,0.7,0.8,3329.4,3314.5,3585.0,3584.9,3330.9,3331.8,3389.0,3371.3,0.0077,0.0002,0.9784,0.9788,0.0019,0.0002,0.0002,0.0002
0.801,12.7914,12.1115,0.0000,0.2792,0.1917,0.6799,65.0,23.4,0.6,3508.2,3508.2,6.7,2.7,0.1,1.4,3331.2,3329.4,3580.9,3580.9,3330.6,3330.1,3385.7,3429.9,0.0070,0.0002,0.9797,0.9797,0.0020,0.0008,0.0000,0.0004
1.001,12.8457,12.1075,0.0000,0.2802,0.1929,0.7382,66.0,23.1,2.3,3503.8,3503.8,6.7,2.0,1.3,0.7,3331.6,3329.8,3577.6,3577.6,3329.9,3341.5,3501.5,3394.6,0.0069,0.0007,0.9794,0.9794,0.0020,0.0006,0.0004,0.0002
1.202,12.8289,12.1304,0.0000,0.2783,0.1917,0.6985,65.0,22.8,2.2,3506.3,3506.2,6.0,1.3,0.3,0.2,3329.5,3329.9,3584.7,3584.7,3330.3,3311.4,3381.9,3318.7,0.0069,0.0007,0.9781,0.9781,0.0018,0.0004,0.0001,0.0001
1.402,12.9785,12.2958,0.0000,0.2872,0.1910,0.6827,66.0,27.8,13.8,3500.7,3500.8,47.6,8.5,2.5,35.0,3330.9,3331.3,3579.3,3579.3,3330.0,3330.7,3416.7,3477.7,0.0083,0.0041,0.9781,0.9781,0.0143,0.0026,0.0007,0.0101
1.602,12.8592,12.1048,0.0000,0.2814,0.1935,0.7544,65.0,27.3,0.7,3500.0,3503.3,5.8,3.2,1.6,0.8,3331.7,3304.7,3581.0,3580.9,3331.1,3329.1,3479.3,3378.8,0.0082,0.0002,0.9774,0.9783,0.0018,0.0009,0.0005,0.0002
1.803,12.8100,12.1307,0.0000,0.2786,0.1926,0.6793,66.0,19.9,0.6,3517.0,3517.0,6.2,1.9,0.3,0.7,3325.2,3286.9,3586.4,3586.4,3330.1,3327.3,3427.1,3382.0,0.0060,0.0002,0.9806,0.9806,0.0019,0.0006,0.0001,0.0002
2.003,12.7960,12.1219,0.0000,0.2789,0.1929,0.6741,66.0,21.3,2.0,3502.6,3502.6,7.2,2.2,0.8,2.2,3335.9,3388.8,3578.5,3578.4,3329.9,3333.0,3339.3,3349.6,0.0064,0.0006,0.9788,0.9788,0.0022,0.0007,0.0002,0.0007
2.204,12.9095,12.1420,0.0000,0.2798,0.1947,0.7675,67.0,19.4,1.4,3519.8,3519.8,5.8,1.3,0.4,0.1,3330.3,3349.2,3586.4,3586.4,3330.1,3367.0,3452.0,3166.1,0.0058,0.0004,0.9814,0.9814,0.0017,0.0004,0.0001,0.0000
2.404,13.0926,12.4011,0.0000,0.2902,0.1929,0.6915,66.0,28.7,43.2,3505.8,3505.8,47.8,49.1,5.9,4.6,3330.9,3329.9,3571.0,3571.0,3330.0,3329.6,3395.9,3437.3,0.0086,0.0130,0.9817,0.9817,0.0144,0.0148,0.0017,0.0013
2.604,12.8192,12.1313,0.0000,0.2789,0.1886,0.6879,67.0,29.0,1.9,3494.4,3495.5,4.6,0.7,0.8,0.1,3330.3,3291.0,3583.0,3582.9,3330.7,3303.0,3434.9,3533.6,0.0087,0.0006,0.9753,0.9756,0.0014,0.0002,0.0002,0.0000
2.805,12.8994,12.1411,0.0000,0.2811,0.1901,0.7584,67.0,24.6,0.8,3495.8,3495.8,6.2,5.9,0.7,2.7,3330.9,3330.1,3583.2,3583.2,3330.5,3330.1,3354.7,3548.0,0.0074,0.0002,0.9756,0.9756,0.0019,0.0018,0.0002,0.0008
3.005,12.8296,12.1569,0.0000,0.2789,0.1904,0.6726,67.0,26.0,1.1,3494.2,3494.2,7.4,1.2,3.3,2.0,3331.0,3379.4,3576.2,3576.2,3330.0,3330.8,3451.5,3324.5,0.0078,0.0003,0.9771,0.9771,0.0022,0.0004,0.0009,0.0006
3.205,12.9129,12.2122,0.0000,0.2786,0.1901,0.7007,67.0,26.5,1.5,3500.3,3500.3,4.5,0.5,0.4,0.1,3330.2,3276.1,3586.5,3586.5,3330.3,3332.7,3425.5,3336.4,0.0080,0.0004,0.9760,0.9760,0.0014,0.0002,0.0001,0.0000
3.406,13.1387,12.3864,0.0000,0.2875,0.1932,0.7523,67.0,26.6,40.3,3505.1,3505.0,47.9,6.4,5.7,0.3,3330.7,3333.1,3579.2,3579.2,3329.9,3331.6,3374.0,3315.2,0.0080,0.0121,0.9793,0.9793,0.0144,0.0019,0.0017,0.0001
3.606,12.9596,12.2711,0.0000,0.2795,0.1941,0.6885,67.0,21.4,1.1,3529.4,3529.4,3.7,5.7,0.3,0.1,3330.5,3223.0,3587.3,3587.3,3332.0,3332.4,3350.5,3212.7,0.0064,0.0003,0.9839,0.9839,0.0011,0.0017,0.0001,0.0000
3.806,12.9492,12.2702,0.0000,0.2789,0.1947,0.6790,67.0,16.5,0.7,3538.6,3538.6,5.7,0.9,0.8,2.6,3330.7,3331.7,3584.2,3584.2,3330.1,3304.9,3405.7,3509.6,0.0049,0.0002,0.9873,0.9873,0.0017,0.0003,0.0002,0.0007
4.007,13.0056,12.2635,0.0000,0.2802,0.1953,0.7422,67.0,17.7,2.1,3530.4,3530.4,6.4,1.9,1.0,1.9,3329.1,3388.6,3581.6,3581.6,3330.3,3354.9,3442.4,3338.4,0.0053,0.0006,0.9857,0.9857,0.0019,0.0006,0.0003,0.0006
4.207,12.9620,12.2632,0.0000,0.2786,0.1926,0.6989,68.0,21.4,1.1,3519.7,3519.6,4.8,1.0,0.3,0.1,3331.7,3228.9,3588.1,3588.1,3330.0,3285.1,3452.0,3185.4,0.0064,0.0004,0.9809,0.9809,0.0014,0.0003,0.0001,0.0000
4.407,13.1591,12.4737,0.0000,0.2866,0.1926,0.6854,68.0,22.4,40.5,3500.5,3500.5,46.6,7.5,7.0,3.5,3330.6,3332.7,3576.2,3576.2,3330.0,3329.9,3356.6,3335.6,0.0067,0.0122,0.9788,0.9788,0.0140,0.0023,0.0021,0.0010
4.608,13.6566,12.3562,0.0000,0.2805,0.1917,1.3003,68.0,27.6,1.1,3508.8,3508.8,3.5,1.1,1.4,1.8,3329.2,3232.6,3587.7,3587.7,3329.9,3326.4,3466.0,3404.0,0.0083,0.0003,0.9780,0.9780,0.0011,0.0003,0.0004,0.0005
4.808,13.0145,12.3104,0.0000,0.2792,0.1932,0.7040,68.0,22.1,0.7,3512.0,3511.9,5.0,0.4,0.3,3.4,3332.7,3332.7,3582.5,3582.5,3330.8,3342.5,3344.8,3480.8,0.0066,0.0002,0.9803,0.9803,0.0015,0.0001,0.0001,0.0010
5.008,13.0853,12.3471,0.0000,0.2826,0.1935,0.7382,68.0,23.1,20.7,3501.8,3501.8,6.0,0.4,1.8,3.2,3330.9,3330.2,3576.5,3576.5,3330.2,3324.4,3483.3,3386.1,0.0069,0.0062,0.9791,0.9791,0.0018,0.0001,0.0005,0.0009
5.209,13.0572,12.3660,0.0000,0.2783,0.1920,0.6912,68.0,23.9,1.0,3519.4,3519.4,3.5,0.8,0.3,0.5,3315.5,3344.1,3587.3,3587.3,3294.7,3270.6,3421.5,3332.4,0.0072,0.0003,0.9811,0.9811,0.0011,0.0002,0.0001,0.0001
5.409,13.2739,12.5906,0.0000,0.2863,0.1935,0.6833,68.0,63.0,40.5,3517.8,3517.8,6.4,1.9,6.5,9.1,3336.8,3328.9,3583.7,3583.7,3320.4,3315.7,3372.0,3476.4,0.0189,0.0122,0.9816,0.9816,0.0019,0.0006,0.0019,0.0026
5.610,13.6776,12.4295,0.0000,0.2808,0.1923,1.2482,68.0,29.1,3.7,3510.0,3510.0,0.9,0.2,0.2,2.5,3330.6,3330.8,3591.9,3591.9,3328.0,3471.0,3422.7,3512.1,0.0087,0.0011,0.9772,0.9772,0.0003,0.0001,0.0001,0.0007
5.810,13.0472,12.3636,0.0000,0.2789,0.1910,0.6836,68.0,25.6,1.2,3504.8,3504.8,3.1,0.7,0.3,2.4,3330.7,3330.9,3584.2,3584.2,3330.7,3326.3,3450.4,3442.2,0.0077,0.0003,0.9779,0.9779,0.0009,0.0002,0.0001,0.0007
6.011,13.1247,12.3886,0.0000,0.2805,0.1913,0.7361,68.0,26.2,2.2,3507.6,3507.6,2.9,2.1,2.0,2.3,3330.6,3262.3,3582.4,3582.4,3330.0,3330.9,3476.2,3349.9,0.0079,0.0007,0.9791,0.9791,0.0009,0.0006,0.0006,0.0007
6.211,13.0426,12.3721,0.0000,0.2783,0.1907,0.6705,68.0,23.9,1.5,3510.6,3510.6,3.4,1.0,0.3,0.2,3330.7,3438.3,3586.7,3586.7,3332.0,3330.5,3431.9,3267.6,0.0072,0.0004,0.9788,0.9788,0.0010,0.0003,0.0001,0.0001
6.412,13.3535,12.6168,0.0000,0.2872,0.1913,0.7367,69.0,51.0,3.7,3510.6,3510.5,14.8,43.5,4.5,7.6,3330.3,3329.1,3586.3,3586.3,3328.1,3332.2,3434.2,3497.7,0.0153,0.0011,0.9789,0.9789,0.0044,0.0131,0.0013,0.0022
6.612,13.0252,12.3394,0.0000,0.2795,0.1917,0.6857,68.0,31.6,0.9,3502.5,3502.6,1.1,0.4,0.4,0.4,3330.6,3333.3,3580.1,3580.2,3357.9,3113.0,3402.2,3305.4,0.0095,0.0003,0.9783,0.9783,0.0003,0.0001,0.0001,0.0001
6.813,13.1900,12.4377,0.0000,0.2805,0.1947,0.7523,69.0,21.5,1.0,3536.1,3536.0,2.0,1.6,0.6,2.9,3330.6,3428.9,3593.8,3593.8,3328.6,3330.1,3410.7,3373.8,0.0064,0.0003,0.9839,0.9839,0.0006,0.0005,0.0002,0.0009
7.013,13.1103,12.4374,0.0000,0.2789,0.1953,0.6729,68.0,19.7,2.4,3536.2,3536.2,2.5,0.9,2.6,1.7,3330.6,3331.9,3586.2,3586.2,3318.9,3332.3,3451.1,3332.6,0.0059,0.0007,0.9861,0.9861,0.0008,0.0003,0.0008,0.0005
7.214,13.1109,12.3697,0.0000,0.2798,0.1959,0.7413,69.0,23.3,1.8,3515.3,3515.3,2.3,1.5,0.5,0.1,3330.7,3292.9,3585.7,3585.7,3332.4,3332.3,3419.1,3230.6,0.0070,0.0006,0.9804,0.9804,0.0007,0.0004,0.0001,0.0000
7.414,13.3047,12.6086,0.0000,0.2875,0.1895,0.6961,69.0,33.3,15.2,3486.2,3486.2,51.6,31.3,4.1,7.4,3330.5,3329.9,3580.7,3580.7,3330.0,3330.1,3337.5,3336.3,0.0100,0.0046,0.9736,0.9736,0.0155,0.0094,0.0012,0.0022
7.615,13.1665,12.4344,0.0000,0.2805,0.1898,0.7321,69.0,33.2,1.1,3495.5,3495.5,1.1,0.9,1.4,0.4,3330.6,3334.3,3589.5,3589.5,3328.2,3334.1,3629.9,3369.4,0.0100,0.0003,0.9738,0.9738,0.0003,0.0003,0.0004,0.0001
