t_s,pkg_w,core_w,uncore_w,dram_w,psys_w,rest_w,pkg_c,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu0_bzy_mhz,cpu1_bzy_mhz,cpu2_bzy_mhz,cpu3_bzy_mhz,cpu4_bzy_mhz,cpu5_bzy_mhz,cpu6_bzy_mhz,cpu7_bzy_mhz,cpu0_busy,cpu1_busy,cpu2_busy,cpu3_busy,cpu4_busy,cpu5_busy,cpu6_busy,cpu7_busy
0.200,30.6808,29.7207,0.0000,1.0294,0.1904,0.9601,73.0,2840.0,2848.1,2853.7,2890.6,2852.0,2886.0,2848.6,2843.4,2935.9,2935.4,2934.8,2917.2,2931.3,2922.2,2935.9,2936.6,0.9674,0.9703,0.9723,0.9909,0.9729,0.9876,0.9703,0.9683
0.401,31.9537,30.8160,0.0000,1.3940,0.1862,1.1377,76.0,2898.1,2898.1,2896.3,2897.8,2898.1,2890.0,2877.3,2884.4,2926.9,2927.0,2927.0,2927.0,2927.0,2927.7,2927.2,2927.2,0.9901,0.9901,0.9895,0.9900,0.9901,0.9871,0.9830,0.9854
0.604,32.4227,31.2533,0.0000,1.2869,0.1834,1.1694,78.0,2884.2,2884.2,2884.2,2867.5,2871.5,2884.3,2884.2,2883.9,2914.2,2914.2,2914.2,2913.7,2913.3,2914.2,2914.2,2914.2,0.9897,0.9897,0.9897,0.9842,0.9857,0.9897,0.9897,0.9896
0.804,31.9735,30.7607,0.0000,1.4456,0.1831,1.2128,78.0,2881.4,2880.6,2881.3,2879.9,2878.5,2881.3,2843.4,2880.9,2912.4,2912.4,2912.4,2912.5,2912.4,2912.3,2911.7,2912.3,0.9894,0.9891,0.9893,0.9888,0.9884,0.9894,0.9765,0.9892
1.005,32.1224,30.9161,0.0000,1.2793,0.1840,1.2064,79.0,2875.7,2867.9,2875.6,2875.1,2875.6,2875.5,2867.5,2875.1,2904.8,2904.4,2904.7,2904.6,2904.6,2904.7,2904.8,2904.6,0.9900,0.9874,0.9900,0.9898,0.9900,0.9899,0.9872,0.9898
1.205,31.9390,30.3362,0.0000,1.3641,0.1834,1.6028,79.0,2863.2,2864.2,2860.4,2863.8,2813.0,2864.3,2864.2,2863.9,2893.5,2893.4,2893.4,2893.5,2892.4,2893.5,2893.5,2893.6,0.9896,0.9899,0.9886,0.9897,0.9725,0.9899,0.9899,0.9897
1.405,32.1224,30.7342,0.0000,1.3345,0.1846,1.3882,81.0,2864.8,2876.8,2861.4,2877.2,2877.4,2874.3,2877.4,2877.2,2906.2,2907.4,2907.3,2907.4,2907.3,2907.4,2907.4,2907.3,0.9857,0.9895,0.9842,0.9896,0.9897,0.9886,0.9897,0.9896
1.606,31.9366,30.8556,0.0000,1.2756,0.1846,1.0809,80.0,2878.1,2877.9,2878.0,2877.7,2878.1,2878.1,2878.0,2873.9,2907.9,2907.8,2907.8,2907.9,2907.9,2907.9,2907.8,2908.1,0.9898,0.9897,0.9898,0.9896,0.9898,0.9898,0.9898,0.9883
1.806,31.9518,30.8025,0.0000,1.3843,0.1840,1.1493,81.0,2877.9,2876.8,2878.0,2877.7,2876.6,2878.0,2876.1,2877.6,2906.7,2906.9,2906.9,2906.8,2906.8,2906.7,2906.9,2906.7,0.9901,0.9896,0.9901,0.9900,0.9896,0.9901,0.9894,0.9900
2.007,32.1001,30.8117,0.0000,1.3220,0.1831,1.2884,81.0,2874.2,2874.0,2874.1,2873.8,2874.2,2874.1,2874.2,2874.1,2902.4,2902.2,2902.3,2902.4,2902.4,2902.5,2902.6,2902.6,0.9903,0.9903,0.9903,0.9901,0.9903,0.9902,0.9902,0.9902
2.207,31.9668,30.8138,0.0000,1.3794,0.1831,1.1530,81.0,2872.2,2875.3,2875.2,2874.9,2875.2,2875.2,2875.1,2874.7,2903.3,2903.3,2903.3,2903.3,2903.3,2903.3,2903.1,2903.1,0.9893,0.9903,0.9903,0.9902,0.9903,0.9904,0.9904,0.9902
2.407,32.1258,30.8572,0.0000,1.3104,0.1855,1.2686,82.0,2863.0,2826.2,2873.4,2873.0,2873.3,2866.5,2859.3,2873.0,2903.8,2903.3,2902.3,2902.1,2902.2,2902.0,2903.7,2902.2,0.9859,0.9734,0.9900,0.9900,0.9900,0.9878,0.9847,0.9899
2.611,32.4380,31.2337,0.0000,1.3806,0.1858,1.2042,82.0,2870.7,2910.5,2871.3,2871.3,2871.5,2871.6,2871.6,2871.3,2898.8,2898.7,2899.7,2899.8,2899.7,2899.7,2899.7,2899.8,0.9903,1.0041,0.9902,0.9902,0.9903,0.9903,0.9903,0.9902
2.811,31.9317,30.7638,0.0000,1.3870,0.1831,1.1679,82.0,2869.5,2869.8,2860.5,2869.4,2863.5,2869.8,2858.8,2869.7,2898.3,2898.5,2897.9,2898.5,2898.2,2898.6,2898.2,2898.7,0.9901,0.9901,0.9871,0.9900,0.9880,0.9901,0.9864,0.9900
3.011,32.1429,30.8660,0.0000,1.3187,0.1840,1.2769,82.0,2867.9,2867.6,2867.6,2867.3,2867.6,2867.5,2867.4,2867.0,2898.2,2898.1,2898.0,2898.0,2898.0,2897.9,2897.8,2897.8,0.9895,0.9895,0.9895,0.9894,0.9895,0.9895,0.9895,0.9894
3.212,31.9546,30.7915,0.0000,1.3678,0.1831,1.1630,84.0,2848.5,2868.6,2868.5,2868.3,2860.1,2868.6,2856.0,2868.4,2898.2,2897.8,2897.9,2897.9,2898.5,2898.0,2897.7,2897.9,0.9829,0.9899,0.9899,0.9898,0.9868,0.9899,0.9856,0.9898
3.412,31.9353,30.8205,0.0000,1.2994,0.1831,1.1148,83.0,2868.6,2863.9,2868.6,2868.4,2868.7,2868.5,2868.4,2868.2,2897.1,2897.2,2897.2,2897.2,2897.1,2897.2,2897.1,2897.2,0.9901,0.9885,0.9901,0.9901,0.9902,0.9901,0.9901,0.9900
3.613,32.1111,30.7812,0.0000,1.3922,0.1840,1.3300,84.0,2855.3,2868.0,2867.9,2867.6,2866.2,2849.9,2868.3,2866.3,2896.9,2896.7,2896.6,2896.6,2896.7,2895.6,2896.8,2896.6,0.9856,0.9901,0.9901,0.9900,0.9895,0.9842,0.9901,0.9895
3.813,31.9488,30.8254,0.0000,1.3275,0.1843,1.1233,84.0,2855.1,2864.2,2864.2,2863.9,2864.2,2864.3,2864.2,2864.0,2894.3,2894.2,2894.3,2894.3,2894.3,2894.3,2894.3,2894.3,0.9865,0.9896,0.9896,0.9895,0.9896,0.9896,0.9896,0.9895
4.013,32.1291,30.8181,0.0000,1.3489,0.1840,1.3110,85.0,2862.9,2857.1,2862.7,2862.1,2862.6,2847.3,2862.5,2860.8,2891.7,2891.8,2891.5,2891.4,2891.5,2891.4,2891.3,2891.2,0.9900,0.9880,0.9900,0.9899,0.9900,0.9847,0.9900,0.9895
