t_s,pkg_w,core_w,uncore_w,dram_w,psys_w,rest_w,pkg_c,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu0_bzy_mhz,cpu1_bzy_mhz,cpu2_bzy_mhz,cpu3_bzy_mhz,cpu4_bzy_mhz,cpu5_bzy_mhz,cpu6_bzy_mhz,cpu7_bzy_mhz,cpu0_busy,cpu1_busy,cpu2_busy,cpu3_busy,cpu4_busy,cpu5_busy,cpu6_busy,cpu7_busy
0.200,31.7879,31.3244,0.0000,1.0599,0.1901,0.4636,74.0,2935.4,2931.0,2940.7,2938.8,2929.5,2978.2,2933.6,2973.4,3002.4,3001.9,3002.8,3002.7,3001.8,3008.4,3002.1,3007.8,0.9777,0.9764,0.9793,0.9787,0.9759,0.9900,0.9772,0.9886
0.403,32.4370,30.9035,0.0000,1.2503,0.1846,1.5335,78.0,2909.6,2905.3,2911.5,2911.2,2907.4,2911.2,2902.7,2911.0,2943.1,2942.7,2943.2,2943.1,2942.6,2943.0,2943.2,2943.2,0.9886,0.9873,0.9892,0.9891,0.9880,0.9892,0.9862,0.9891
0.604,32.0959,30.8507,0.0000,1.3266,0.1840,1.2451,78.0,2888.5,2884.9,2887.1,2888.1,2888.5,2888.7,2888.6,2888.2,2917.2,2916.9,2917.3,2917.2,2917.2,2917.3,2917.3,2917.2,0.9901,0.9890,0.9897,0.9900,0.9901,0.9902,0.9902,0.9900
0.804,31.9717,30.7885,0.0000,1.4633,0.1837,1.1832,78.0,2890.9,2886.2,2890.8,2890.6,2875.7,2888.5,2890.8,2890.5,2919.4,2919.2,2919.4,2919.4,2918.9,2919.3,2919.3,2919.2,0.9902,0.9887,0.9902,0.9901,0.9852,0.9895,0.9902,0.9901
1.004,32.0956,30.8691,0.0000,1.2588,0.1852,1.2265,79.0,2883.7,2884.0,2883.9,2883.6,2883.9,2874.4,2884.1,2883.3,2915.4,2915.6,2915.5,2915.5,2915.6,2915.0,2915.7,2915.2,0.9891,0.9892,0.9892,0.9891,0.9891,0.9861,0.9892,0.9890
1.205,31.9625,30.7964,0.0000,1.4154,0.1834,1.1661,79.0,2888.1,2888.0,2802.0,2887.6,2888.1,2888.0,2887.9,2888.2,2916.9,2916.8,2915.1,2916.9,2916.9,2916.9,2916.8,2917.3,0.9901,0.9901,0.9612,0.9900,0.9901,0.9901,0.9901,0.9900
1.405,31.9588,30.8215,0.0000,1.3318,0.1834,1.1374,79.0,2878.9,2878.7,2878.7,2878.5,2878.6,2878.7,2878.6,2878.4,2908.2,2908.1,2908.0,2908.0,2908.0,2908.0,2908.0,2908.0,0.9899,0.9899,0.9899,0.9899,0.9899,0.9899,0.9899,0.9898
1.606,32.1239,30.8190,0.0000,1.3852,0.1840,1.3049,80.0,2884.0,2873.7,2884.1,2883.8,2884.2,2884.1,2884.1,2883.8,2912.5,2912.9,2912.6,2912.7,2912.6,2912.6,2912.6,2912.6,0.9902,0.9865,0.9902,0.9901,0.9903,0.9902,0.9902,0.9901
1.806,31.9631,30.7961,0.0000,1.4151,0.1831,1.1670,81.0,2883.8,2842.8,2883.6,2861.4,2883.5,2883.5,2883.5,2883.2,2912.0,2911.8,2911.9,2910.9,2911.8,2911.9,2911.8,2911.7,0.9903,0.9763,0.9903,0.9830,0.9903,0.9903,0.9903,0.9902
2.006,31.9363,30.8208,0.0000,1.3553,0.1840,1.1154,81.0,2883.1,2873.4,2884.7,2884.3,2884.6,2884.7,2884.6,2884.4,2912.7,2912.2,2912.9,2912.8,2912.9,2912.9,2912.9,2912.9,0.9898,0.9867,0.9903,0.9902,0.9903,0.9903,0.9903,0.9902
