t_s,pkg_w,core_w,uncore_w,dram_w,psys_w,rest_w,pkg_c,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu0_bzy_mhz,cpu1_bzy_mhz,cpu2_bzy_mhz,cpu3_bzy_mhz,cpu4_bzy_mhz,cpu5_bzy_mhz,cpu6_bzy_mhz,cpu7_bzy_mhz,cpu0_busy,cpu1_busy,cpu2_busy,cpu3_busy,cpu4_busy,cpu5_busy,cpu6_busy,cpu7_busy
0.212,32.4596,31.1053,0.0000,0.9454,0.2051,1.3544,74.0,2865.1,2802.5,2853.0,2171.1,2833.6,2697.9,2866.8,2860.7,2963.8,2926.4,2914.6,2721.1,2951.0,2951.7,2912.7,2960.4,0.9667,0.9576,0.9789,0.7979,0.9602,0.9140,0.9842,0.9663
0.476,42.1560,41.0988,0.0000,1.5329,0.2496,1.0571,76.0,2839.7,2896.5,2600.4,2767.5,2895.1,2882.5,2617.4,2610.9,2924.3,2986.4,2980.4,3082.7,2969.4,2909.1,2989.5,2954.7,0.9711,0.9699,0.8725,0.8978,0.9750,0.9908,0.8755,0.8836
0.719,38.8061,37.1639,0.0000,1.4902,0.2243,1.6422,78.0,2693.9,2886.3,2797.0,2612.6,2702.0,2921.9,2784.1,2628.8,2956.6,2916.6,2941.5,2999.5,2906.0,3000.6,2949.5,2942.4,0.9112,0.9896,0.9509,0.8710,0.9298,0.9738,0.9439,0.8934
0.940,35.4656,34.6984,0.0000,1.3110,0.2103,0.7672,78.0,2854.6,2592.8,2767.6,2495.1,2885.9,2677.8,2595.4,2518.4,2966.8,2967.2,2954.3,2898.1,2974.7,2860.2,2952.0,2942.5,0.9622,0.8738,0.9368,0.8609,0.9701,0.9362,0.8792,0.8559
1.181,38.3675,36.7693,0.0000,1.6266,0.2277,1.5982,79.0,2865.7,2893.0,2706.6,2719.5,2758.5,2863.7,2688.8,2741.4,2921.5,2936.5,2922.9,2978.2,2779.0,2973.7,2912.2,2784.1,0.9809,0.9852,0.9260,0.9131,0.9926,0.9630,0.9233,0.9847
1.442,41.6884,40.1033,0.0000,1.5665,0.2304,1.5851,79.0,2861.3,2775.7,2590.9,2746.8,2991.7,2870.2,2661.6,2762.6,2939.4,2924.4,2914.3,2928.2,3091.0,2973.1,2934.7,3114.0,0.9734,0.9492,0.8890,0.9381,0.9679,0.9654,0.9069,0.8872
1.671,36.5313,35.0982,0.0000,1.3629,0.2081,1.4331,79.0,2903.0,2799.5,2461.2,2299.8,2742.3,2710.0,2642.8,2878.2,2946.0,2924.9,2963.8,2923.7,2898.5,2931.3,2949.4,2929.3,0.9854,0.9571,0.8304,0.7866,0.9461,0.9245,0.8961,0.9825
1.901,36.6308,35.1830,0.0000,1.6031,0.2087,1.4477,81.0,2887.5,2643.0,2659.7,2670.4,2881.9,2767.8,2669.8,2889.9,2925.2,2955.5,2927.8,2923.1,2899.9,2900.2,2917.2,2928.9,0.9871,0.8943,0.9084,0.9135,0.9938,0.9543,0.9152,0.9867
2.132,36.7452,35.4684,0.0000,1.4716,0.2145,1.2769,80.0,2770.8,2900.4,2719.9,2871.1,2815.3,2750.5,2617.7,2729.6,2925.8,2929.8,2930.8,2905.9,2953.9,2947.2,2882.7,2922.7,0.9470,0.9899,0.9280,0.9880,0.9531,0.9333,0.9081,0.9339
2.355,35.6945,34.5687,0.0000,1.4502,0.2133,1.1258,81.0,2597.2,2761.7,2589.4,2645.7,2924.0,2768.3,2520.8,2511.3,2892.5,2928.7,2936.4,2943.8,2957.1,2946.5,2995.7,2943.1,0.8979,0.9430,0.8818,0.8987,0.9888,0.9395,0.8415,0.8533
2.593,37.8408,36.3576,0.0000,1.6663,0.2209,1.4832,81.0,2835.8,2866.0,2772.8,2987.2,2793.4,2811.4,2624.4,2626.0,2892.4,2882.0,2866.8,2942.2,2892.2,2854.2,2901.0,2870.8,0.9804,0.9944,0.9672,1.0153,0.9658,0.9850,0.9047,0.9147
2.848,40.6289,39.0520,0.0000,1.5930,0.2246,1.5768,81.0,2889.8,2932.9,2836.9,2762.8,2761.4,2874.9,2678.3,2609.5,2992.8,2975.4,2978.1,2902.0,2921.3,2995.1,2932.4,2971.4,0.9656,0.9857,0.9526,0.9520,0.9453,0.9599,0.9134,0.8782
3.072,35.7812,34.1558,0.0000,1.4548,0.2100,1.6254,81.0,2857.3,2775.1,2647.2,2614.9,2908.6,2925.5,2712.4,2599.6,2903.0,2890.9,2903.5,2926.3,2941.9,2905.7,2899.0,2900.1,0.9843,0.9599,0.9117,0.8936,0.9887,1.0068,0.9357,0.8964
3.299,36.2563,34.6010,0.0000,1.5369,0.2042,1.6553,82.0,2839.8,2842.4,2518.2,2781.0,2843.3,2669.2,2882.0,2749.0,2896.3,2931.4,2855.0,2906.9,2931.8,2755.9,2921.7,2928.0,0.9805,0.9696,0.8820,0.9567,0.9698,0.9685,0.9864,0.9389
3.571,43.3693,41.7501,0.0000,1.7877,0.2475,1.6193,83.0,2791.9,2769.6,2854.5,2863.8,2916.0,2736.6,2698.8,2447.6,2945.9,2878.8,2864.7,2938.3,2924.4,3085.9,2918.7,2914.7,0.9477,0.9621,0.9964,0.9747,0.9971,0.8868,0.9247,0.8397
3.799,36.3402,35.1125,0.0000,1.4453,0.2106,1.2277,82.0,2812.2,2804.4,2730.8,2703.1,2930.3,2686.1,2493.2,2714.3,2937.3,2961.9,3070.8,2937.1,2940.2,2975.2,2911.4,2941.9,0.9574,0.9468,0.8893,0.9203,0.9966,0.9028,0.8564,0.9226
4.009,33.7206,32.6848,0.0000,1.4258,0.2060,1.0358,84.0,2706.8,2847.9,2659.0,2567.4,2868.7,2800.0,2764.3,2645.9,2885.7,2904.8,2856.3,2883.8,2920.6,2889.3,2931.6,2876.3,0.9380,0.9804,0.9309,0.8903,0.9822,0.9691,0.9429,0.9199
4.267,40.8977,39.2486,0.0000,1.6080,0.2264,1.6492,84.0,2832.7,2924.3,2896.6,2675.0,2771.6,2789.6,2437.3,2784.4,2944.1,2959.7,2988.1,2951.7,2885.3,2944.1,2834.2,2945.0,0.9622,0.9880,0.9694,0.9063,0.9606,0.9475,0.8600,0.9455
4.493,36.0921,35.0408,0.0000,1.2451,0.2078,1.0513,86.0,2852.4,2660.3,2373.3,2611.0,2896.4,2879.0,2502.1,2756.5,2961.0,2913.5,2823.4,2952.8,2984.6,2966.8,2971.1,2976.9,0.9633,0.9131,0.8406,0.8842,0.9704,0.9704,0.8421,0.9260
4.714,35.3167,34.2409,0.0000,1.5744,0.2081,1.0757,84.0,2647.4,2846.4,2707.7,2889.4,2793.0,2730.6,2769.4,2590.0,2894.3,2928.5,3009.4,2917.2,2910.5,2916.2,2931.4,2905.8,0.9147,0.9720,0.8998,0.9905,0.9596,0.9363,0.9447,0.8913
4.961,39.4353,37.3614,0.0000,1.5897,0.2231,2.0740,85.0,2778.5,2879.7,2774.4,2716.7,2839.3,2638.7,2819.1,2730.2,2933.0,2931.4,2900.1,2915.5,2905.3,2915.1,2905.2,2923.8,0.9473,0.9824,0.9566,0.9318,0.9773,0.9052,0.9704,0.9338
5.181,35.3042,34.3993,0.0000,1.3113,0.2026,0.9048,85.0,2613.1,2886.8,2623.2,2565.9,2834.0,2819.3,2752.8,2376.7,2930.9,2935.2,2957.9,2914.6,2865.3,2932.5,2929.2,2902.9,0.8916,0.9835,0.8868,0.8804,0.9891,0.9614,0.9398,0.8187
5.409,36.2890,35.6615,0.0000,1.5228,0.2252,0.6274,85.0,2805.5,2891.6,2651.4,2752.5,2688.3,2654.4,2746.7,2402.6,2905.1,2898.9,2903.9,2804.3,2878.1,2897.5,2936.2,2795.7,0.9657,0.9975,0.9131,0.9815,0.9341,0.9161,0.9355,0.8594
5.672,41.9820,38.8375,0.0000,1.6568,0.2264,3.1445,86.0,2765.8,2728.1,2706.4,2880.7,2835.5,2795.9,2894.2,2750.6,2905.1,2917.1,2895.5,3019.0,3025.7,2909.1,2910.0,3042.5,0.9521,0.9352,0.9347,0.9542,0.9371,0.9611,0.9946,0.9040
5.882,33.5573,32.3464,0.0000,1.2567,0.1917,1.2109,87.0,2805.6,2858.8,2513.2,2333.3,2907.0,2838.0,2798.8,2623.5,2918.2,2882.9,2879.8,2836.8,2897.0,2920.1,2874.2,2912.9,0.9614,0.9916,0.8727,0.8225,1.0035,0.9719,0.9738,0.9007
6.113,36.9103,35.4165,0.0000,1.6049,0.2115,1.4938,87.0,2806.9,2711.4,2740.6,2669.7,2802.0,2694.3,2893.0,2596.3,2911.4,2885.5,2950.5,2975.0,2900.5,2870.8,2956.3,2829.3,0.9641,0.9397,0.9289,0.8974,0.9660,0.9385,0.9786,0.9177
6.339,36.0525,35.1900,0.0000,1.4456,0.2112,0.8624,87.0,2798.9,2830.4,2635.8,2477.3,2899.5,2793.0,2719.0,2627.2,2922.2,2984.4,2907.3,2910.0,2953.9,2857.6,2919.6,2973.5,0.9578,0.9484,0.9066,0.8513,0.9816,0.9774,0.9313,0.8835
6.563,35.7455,33.9989,0.0000,1.3870,0.2020,1.7465,88.0,2953.1,2694.0,2531.7,2499.8,2878.9,2951.3,2481.3,2347.5,2941.6,2875.8,2940.2,2914.3,2919.2,3045.3,2913.9,2933.6,1.0039,0.9368,0.8611,0.8578,0.9862,0.9691,0.8515,0.8002
6.790,36.2594,35.2370,0.0000,1.5359,0.2139,1.0223,87.0,2887.8,2887.8,2807.4,2581.8,2901.3,2683.0,2703.1,2480.1,2919.7,2981.1,2918.8,2923.5,2941.7,2923.9,2882.9,2924.3,0.9891,0.9687,0.9618,0.8831,0.9863,0.9176,0.9376,0.8481
7.004,34.3462,32.6644,0.0000,1.2720,0.1932,1.6818,88.0,2816.8,2488.4,2845.4,2809.6,2811.1,2660.3,2569.4,2670.3,2921.1,2886.9,2915.3,2927.0,2920.6,2884.8,2903.5,2919.4,0.9643,0.8620,0.9760,0.9599,0.9625,0.9222,0.8849,0.9147
7.222,34.6908,34.4839,0.0000,1.5240,0.2097,0.2069,87.0,2822.7,2871.4,2672.1,2663.2,2748.2,2845.5,2647.2,2825.1,2901.5,2859.1,2883.1,2806.1,2851.6,2920.9,2881.3,2879.5,0.9728,1.0043,0.9268,0.9491,0.9637,0.9742,0.9187,0.9811
