t_s,pkg_w,core_w,uncore_w,dram_w,psys_w,rest_w,pkg_c,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu0_bzy_mhz,cpu1_bzy_mhz,cpu2_bzy_mhz,cpu3_bzy_mhz,cpu4_bzy_mhz,cpu5_bzy_mhz,cpu6_bzy_mhz,cpu7_bzy_mhz,cpu0_busy,cpu1_busy,cpu2_busy,cpu3_busy,cpu4_busy,cpu5_busy,cpu6_busy,cpu7_busy
0.200,28.1558,27.2521,0.0000,0.7169,0.1944,0.9036,81.0,3356.3,3172.5,538.5,513.4,3141.7,3128.7,519.5,403.6,3536.8,3549.5,3303.2,3307.3,3551.6,3552.7,3300.4,3325.1,0.9490,0.8938,0.1630,0.1552,0.8846,0.8806,0.1574,0.1214
0.401,29.4991,28.3770,0.0000,0.5484,0.1981,1.1221,87.0,3575.8,3575.8,6.6,6.1,3575.7,3575.7,6.2,4.4,3589.3,3589.3,3327.4,3330.1,3589.3,3589.3,3330.4,3298.8,0.9962,0.9962,0.0020,0.0018,0.9962,0.9962,0.0019,0.0013
0.601,30.5227,29.4900,0.0000,0.8432,0.1929,1.0327,82.0,3427.4,3370.7,698.9,532.3,3301.3,3427.6,487.4,377.8,3457.2,3466.4,3079.7,3039.8,3477.4,3457.3,3052.9,2981.0,0.9914,0.9724,0.2269,0.1751,0.9494,0.9914,0.1597,0.1267
0.802,29.6889,28.9104,0.0000,0.5914,0.1968,0.7785,89.0,3548.5,3548.5,98.1,70.7,3548.4,3548.4,56.6,2.9,3570.6,3570.6,3243.7,3154.1,3570.6,3570.6,3181.6,3264.4,0.9938,0.9938,0.0303,0.0224,0.9938,0.9938,0.0178,0.0009
1.002,29.8925,29.0133,0.0000,0.5649,0.1974,0.8792,88.0,3576.4,3576.5,3.8,5.4,3576.4,3576.4,9.2,1.2,3591.7,3591.8,3332.3,3331.5,3591.7,3591.7,3317.2,3335.1,0.9957,0.9957,0.0011,0.0016,0.9957,0.9957,0.0028,0.0004
1.202,30.5361,29.5461,0.0000,0.9506,0.1892,0.9900,88.0,3238.5,3151.7,917.8,715.2,3218.9,3244.8,563.3,463.0,3438.6,3451.7,3133.0,3092.8,3441.0,3439.2,3049.5,3007.7,0.9418,0.9131,0.2930,0.2313,0.9355,0.9435,0.1847,0.1539
1.403,29.7118,29.0118,0.0000,0.5499,0.1956,0.7001,89.0,3543.5,3543.4,4.0,197.4,3543.3,3543.3,6.7,2.2,3570.3,3570.2,3286.8,3330.0,3570.1,3570.2,3324.8,3331.7,0.9925,0.9925,0.0012,0.0593,0.9925,0.9925,0.0020,0.0007
1.605,30.6374,29.7347,0.0000,0.7352,0.1932,0.9027,81.0,3386.7,3406.7,470.0,575.0,3269.3,3425.2,409.4,383.9,3498.3,3499.8,3043.9,3088.6,3525.2,3497.6,3010.0,2999.2,0.9681,0.9734,0.1544,0.1862,0.9274,0.9793,0.1360,0.1280
1.806,30.2648,29.2422,0.0000,0.7602,0.1923,1.0226,90.0,3444.5,3441.8,555.2,341.6,3441.8,3441.7,150.8,43.2,3488.5,3485.9,3217.5,3228.4,3485.8,3485.7,3149.7,2971.6,0.9874,0.9874,0.1726,0.1058,0.9874,0.9874,0.0479,0.0145
2.006,30.0451,29.3340,0.0000,0.5725,0.1971,0.7111,91.0,3561.2,3561.2,194.1,8.9,3561.2,3561.3,5.8,2.5,3580.4,3580.4,3330.2,3330.0,3580.4,3580.5,3276.7,3246.5,0.9946,0.9946,0.0583,0.0027,0.9946,0.9946,0.0018,0.0008
2.207,30.8532,29.7454,0.0000,1.0086,0.1877,1.1078,88.0,3262.5,3291.7,1084.5,791.2,3306.6,3289.5,463.0,240.5,3378.9,3374.8,3174.7,3142.5,3372.3,3375.2,3101.3,3037.6,0.9656,0.9754,0.3416,0.2518,0.9805,0.9746,0.1493,0.0792
2.407,29.9673,29.2281,0.0000,0.5704,0.1953,0.7391,92.0,3547.9,3547.9,193.7,7.2,3547.8,3547.8,7.6,2.0,3575.6,3575.6,3329.5,3330.0,3575.5,3575.5,3288.8,3312.3,0.9922,0.9922,0.0582,0.0022,0.9922,0.9922,0.0023,0.0006
2.608,30.5041,29.5779,0.0000,0.7358,0.1941,0.9262,89.0,3395.8,3424.7,494.8,390.4,3447.6,3412.9,368.8,308.3,3496.6,3492.2,3101.4,3025.0,3487.9,3494.5,3000.0,2987.1,0.9712,0.9807,0.1596,0.1291,0.9884,0.9766,0.1229,0.1032
2.808,30.3146,29.4414,0.0000,0.8020,0.1889,0.8731,92.0,3433.6,3433.5,521.5,261.8,3433.5,3433.5,266.1,21.1,3491.3,3491.2,3267.6,3223.7,3491.2,3491.2,3290.7,3231.8,0.9835,0.9835,0.1596,0.0812,0.9835,0.9835,0.0809,0.0065
3.009,30.2294,29.3624,0.0000,0.5551,0.1959,0.8670,92.0,3526.4,3526.4,8.4,9.9,3526.5,3526.5,201.6,2.4,3576.3,3576.3,3329.1,3330.5,3576.4,3576.4,3331.1,3344.8,0.9861,0.9861,0.0025,0.0030,0.9860,0.9860,0.0605,0.0007
3.209,30.7745,29.7527,0.0000,1.0242,0.1877,1.0217,89.0,3309.4,3310.4,870.5,827.7,3310.4,3279.5,632.2,314.7,3375.1,3375.0,3080.0,3073.3,3375.1,3377.5,3066.5,3009.7,0.9805,0.9808,0.2826,0.2693,0.9808,0.9710,0.2062,0.1046
3.410,30.0680,29.2571,0.0000,0.5963,0.1947,0.8108,93.0,3532.6,3532.6,196.9,13.4,3532.4,3532.4,13.1,5.4,3574.5,3574.4,3329.1,3330.4,3574.2,3574.3,3327.3,3326.3,0.9883,0.9883,0.0592,0.0040,0.9883,0.9883,0.0039,0.0016
3.610,30.1827,29.3606,0.0000,0.5856,0.1935,0.8221,92.0,3495.3,3495.4,325.7,29.7,3495.5,3495.4,18.0,12.7,3553.7,3553.8,3327.2,3316.6,3553.9,3553.8,3332.7,3315.0,0.9836,0.9836,0.0979,0.0090,0.9836,0.9836,0.0054,0.0038
3.811,30.7897,29.7726,0.0000,0.9802,0.1886,1.0171,93.0,3327.9,3327.8,943.2,529.6,3288.4,3327.4,440.2,401.9,3390.6,3390.5,3176.8,3094.6,3397.2,3390.6,3042.6,3120.4,0.9815,0.9815,0.2969,0.1711,0.9680,0.9814,0.1447,0.1288
4.011,30.0726,29.2242,0.0000,0.5588,0.1971,0.8484,93.0,3492.9,3492.9,11.9,11.0,3493.4,3493.4,22.8,199.1,3559.9,3559.9,3330.3,3332.1,3559.9,3559.9,3325.2,3330.0,0.9812,0.9812,0.0036,0.0033,0.9813,0.9813,0.0068,0.0598
4.212,30.6420,29.7140,0.0000,0.9207,0.1889,0.9280,86.0,3314.3,3321.7,794.6,626.7,3321.6,3321.6,428.2,502.8,3396.8,3395.6,3096.5,3081.0,3395.5,3395.5,3006.4,3087.2,0.9757,0.9782,0.2566,0.2034,0.9782,0.9782,0.1424,0.1629
4.412,29.8977,28.9239,0.0000,0.6317,0.1926,0.9738,93.0,3431.9,3431.7,178.7,208.1,3431.8,3431.8,88.1,20.2,3526.9,3526.7,3254.2,3327.0,3526.7,3526.7,3278.3,3315.7,0.9731,0.9731,0.0549,0.0626,0.9731,0.9731,0.0269,0.0061
4.612,29.0353,28.3334,0.0000,0.5658,0.1947,0.7019,94.0,3473.7,3473.7,4.8,198.2,3473.8,3473.8,10.1,3.9,3516.4,3516.4,3386.6,3330.0,3516.5,3516.5,3327.6,3329.9,0.9878,0.9878,0.0014,0.0595,0.9878,0.9878,0.0030,0.0012
4.813,30.9185,29.3874,0.0000,0.9778,0.1889,1.5311,93.0,3232.3,3274.3,874.3,795.4,3289.2,3204.2,664.7,406.4,3365.3,3355.7,3073.0,3039.4,3353.6,3368.0,3008.3,2953.3,0.9605,0.9758,0.2845,0.2617,0.9808,0.9514,0.2209,0.1376
5.013,28.9327,28.1005,0.0000,0.5402,0.1938,0.8322,93.0,3442.0,3441.9,9.9,13.3,3442.0,3442.0,205.3,4.2,3509.5,3509.5,3331.2,3330.4,3509.5,3509.5,3330.7,3346.3,0.9808,0.9807,0.0030,0.0040,0.9808,0.9808,0.0616,0.0013
5.214,29.7213,28.7823,0.0000,0.6723,0.1932,0.9390,91.0,3380.1,3380.2,327.5,178.9,3380.1,3380.1,299.6,175.1,3477.1,3477.2,3187.5,3095.2,3477.2,3477.2,3195.3,3079.4,0.9721,0.9721,0.1027,0.0578,0.9721,0.9721,0.0938,0.0568
5.414,30.1394,29.1778,0.0000,0.9219,0.1877,0.9616,93.0,3291.6,3291.5,774.9,515.5,3291.7,3247.2,721.9,228.4,3368.0,3367.9,3156.5,3111.1,3367.9,3374.7,3111.4,2991.3,0.9773,0.9773,0.2455,0.1657,0.9774,0.9622,0.2320,0.0764
5.615,28.0407,27.3217,0.0000,0.5502,0.1944,0.7190,93.0,3420.3,3420.3,4.7,194.3,3420.3,3420.3,9.6,9.9,3467.9,3467.9,3386.4,3330.4,3468.0,3468.0,3332.5,3330.2,0.9863,0.9863,0.0014,0.0583,0.9862,0.9862,0.0029,0.0030
5.815,30.2325,29.0936,0.0000,0.9280,0.1877,1.1389,93.0,3317.4,3317.5,890.2,402.1,3317.4,3317.4,460.1,149.9,3382.6,3382.7,3223.4,3178.9,3382.6,3382.6,3177.9,3006.0,0.9807,0.9807,0.2762,0.1265,0.9807,0.9807,0.1448,0.0499
6.015,29.1998,28.3563,0.0000,0.7214,0.1910,0.8435,93.0,3356.0,3356.0,404.6,318.1,3356.0,3355.9,223.9,17.5,3442.7,3442.7,3256.9,3235.4,3442.7,3442.7,3246.8,3330.0,0.9748,0.9748,0.1242,0.0983,0.9748,0.9748,0.0690,0.0053
6.216,28.3517,27.4191,0.0000,0.6006,0.1944,0.9326,93.0,3392.3,3392.2,60.8,250.6,3392.3,3392.3,24.4,20.8,3464.4,3464.3,3265.3,3318.8,3464.4,3464.4,3262.0,3310.6,0.9792,0.9792,0.0186,0.0755,0.9792,0.9792,0.0075,0.0063
6.416,29.7713,28.8024,0.0000,0.9286,0.1883,0.9689,93.0,3243.8,3261.8,955.4,628.2,3261.7,3235.6,447.3,426.3,3345.5,3342.6,3150.3,3065.7,3342.5,3346.0,3007.0,3028.4,0.9696,0.9758,0.3033,0.2049,0.9758,0.9670,0.1487,0.1408
6.617,27.9574,27.1972,0.0000,0.5942,0.1935,0.7602,93.0,3367.1,3366.8,250.2,87.3,3366.9,3366.8,17.6,198.3,3432.1,3432.1,3288.7,3287.9,3432.1,3432.1,3321.9,3325.1,0.9811,0.9810,0.0761,0.0265,0.9810,0.9810,0.0053,0.0596
6.817,27.8744,26.9677,0.0000,0.6232,0.1947,0.9067,90.0,3362.0,3361.9,199.7,74.7,3361.9,3361.9,30.9,213.6,3424.8,3424.8,3231.2,3138.5,3424.8,3424.7,3241.7,3304.8,0.9816,0.9817,0.0618,0.0238,0.9816,0.9816,0.0095,0.0646
7.017,30.7967,29.7314,0.0000,1.1017,0.1865,1.0654,86.0,3162.1,3170.7,1563.9,728.7,3155.2,3170.8,1322.4,808.8,3213.3,3212.7,3065.7,3084.0,3214.5,3212.7,3035.5,2955.7,0.9841,0.9869,0.5101,0.2363,0.9816,0.9870,0.4357,0.2737
7.218,32.1203,30.8642,0.0000,1.3440,0.1840,1.2561,87.0,2865.8,2865.5,2865.5,2571.7,2858.0,2865.6,2865.5,2865.3,2888.2,2887.9,2888.0,2883.4,2888.3,2888.0,2888.0,2888.0,0.9923,0.9922,0.9922,0.8919,0.9895,0.9922,0.9922,0.9921
7.419,31.9732,30.7784,0.0000,1.3266,0.1849,1.1948,89.0,2859.3,2856.2,2856.8,2845.3,2859.1,2859.0,2856.8,2858.9,2883.8,2883.8,2883.7,2883.4,2883.7,2883.7,2883.9,2883.8,0.9915,0.9904,0.9907,0.9868,0.9915,0.9914,0.9906,0.9914
7.619,32.1029,30.7836,0.0000,1.3892,0.1831,1.3193,88.0,2860.2,2853.9,2860.5,2860.4,2860.6,2858.5,2850.4,2860.5,2882.4,2882.6,2882.6,2882.6,2882.6,2882.6,2882.3,2882.6,0.9923,0.9900,0.9923,0.9923,0.9924,0.9916,0.9889,0.9923
7.820,31.9576,30.8913,0.0000,1.2903,0.1840,1.0663,89.0,2853.1,2853.0,2852.9,2852.8,2853.0,2853.2,2853.2,2852.8,2879.6,2879.4,2879.4,2879.5,2879.5,2879.6,2879.6,2879.6,0.9908,0.9908,0.9908,0.9907,0.9908,0.9908,0.9908,0.9907
8.021,32.1163,30.7589,0.0000,1.3931,0.1831,1.3574,89.0,2857.5,2854.3,2843.9,2857.0,2857.3,2854.1,2857.1,2854.5,2882.3,2882.4,2882.0,2882.1,2882.1,2882.4,2882.0,2882.0,0.9914,0.9903,0.9868,0.9913,0.9914,0.9902,0.9913,0.9905
