t_s,pkg_w,core_w,uncore_w,dram_w,psys_w,rest_w,pkg_c,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu0_bzy_mhz,cpu1_bzy_mhz,cpu2_bzy_mhz,cpu3_bzy_mhz,cpu4_bzy_mhz,cpu5_bzy_mhz,cpu6_bzy_mhz,cpu7_bzy_mhz,cpu0_busy,cpu1_busy,cpu2_busy,cpu3_busy,cpu4_busy,cpu5_busy,cpu6_busy,cpu7_busy
0.204,32.5100,31.9646,0.0000,1.0181,0.2026,0.5454,75.0,2874.9,2825.8,2804.1,2902.4,2737.7,2887.8,2931.1,2770.5,2952.9,2977.3,2873.9,2977.4,2917.1,2951.6,2988.1,2971.1,0.9736,0.9491,0.9757,0.9748,0.9385,0.9784,0.9809,0.9325
0.473,42.8103,41.0308,0.0000,1.6687,0.2478,1.7795,78.0,2887.8,2842.4,2878.8,2810.4,3066.7,2858.4,2664.5,2665.1,2967.7,2938.5,3059.5,2943.2,3000.9,2960.5,2868.5,2943.2,0.9731,0.9673,0.9409,0.9549,1.0220,0.9655,0.9289,0.9055
0.736,42.0076,40.6914,0.0000,1.6733,0.2387,1.3162,78.0,2830.4,2860.6,2912.9,2759.2,2751.2,2862.2,2824.9,2760.8,2909.3,2898.2,2928.5,2916.9,2935.8,2928.1,2997.7,2912.7,0.9729,0.9870,0.9947,0.9459,0.9371,0.9775,0.9424,0.9478
0.964,36.5883,35.0121,0.0000,1.3614,0.2078,1.5762,79.0,2929.4,2874.6,2635.4,2602.5,2496.2,2655.3,2762.0,2685.3,2958.1,2984.2,2940.3,2943.6,2904.5,2938.3,2932.8,2950.4,0.9903,0.9633,0.8963,0.8841,0.8594,0.9037,0.9418,0.9102
1.194,36.5963,36.2716,0.0000,1.6031,0.2133,0.3247,79.0,2847.6,2685.3,2687.8,2667.1,2931.3,2687.6,2883.9,2490.7,2946.2,2898.5,2923.8,2923.4,2943.7,2847.6,2931.5,2904.1,0.9665,0.9264,0.9193,0.9123,0.9958,0.9438,0.9838,0.8576
1.437,38.9663,37.0785,0.0000,1.6650,0.2243,1.8878,81.0,2821.7,2786.9,2720.9,2669.9,2685.1,2920.4,2734.6,2839.9,2922.8,2958.5,2910.8,2932.6,2934.2,2975.5,2926.3,2942.4,0.9654,0.9420,0.9348,0.9104,0.9151,0.9815,0.9345,0.9652
1.658,35.1616,33.3288,0.0000,1.2228,0.2008,1.8329,79.0,2832.0,2723.3,2522.7,2352.3,2720.8,2775.0,2656.4,2436.4,2938.8,2911.0,2879.9,2933.9,2884.6,2979.4,2942.3,2877.8,0.9637,0.9355,0.8760,0.8017,0.9432,0.9314,0.9029,0.8466
1.905,39.4652,38.8366,0.0000,1.6104,0.2377,0.6287,81.0,2848.6,2778.0,2619.5,2680.3,2866.0,2799.4,2800.1,2413.9,2943.3,2907.5,2945.1,2920.6,2964.9,2883.7,2937.3,2976.5,0.9678,0.9555,0.8894,0.9177,0.9667,0.9708,0.9533,0.8110
2.159,40.7329,38.8570,0.0000,1.7349,0.2255,1.8759,81.0,2857.8,2900.0,2813.7,2769.4,2763.5,2839.5,2845.8,2881.2,2910.4,2968.6,2912.1,2911.8,2919.1,2976.6,2907.5,2915.0,0.9819,0.9769,0.9662,0.9511,0.9467,0.9539,0.9788,0.9884
2.392,37.2313,35.6093,0.0000,1.3126,0.2103,1.6220,81.0,2803.7,2846.3,2500.1,2746.6,2800.0,2789.1,2633.8,2406.0,2934.0,2936.4,2941.9,2932.0,2891.7,2905.5,2928.6,2865.4,0.9556,0.9693,0.8498,0.9368,0.9683,0.9599,0.8993,0.8397
2.623,36.7388,36.6418,0.0000,1.6116,0.2252,0.0970,82.0,2837.6,2760.1,2779.5,2623.0,2763.3,2814.8,2784.7,2847.4,2918.8,2891.1,2944.3,2812.6,2870.9,2936.5,2915.8,2968.0,0.9722,0.9547,0.9440,0.9326,0.9625,0.9586,0.9550,0.9593
2.865,38.8613,36.0491,0.0000,1.5820,0.2078,2.8122,83.0,2828.4,2730.6,2726.6,2918.4,2896.6,2815.2,2834.1,2477.8,2913.4,2873.1,2844.7,3021.6,2986.7,2903.0,2913.7,2904.1,0.9708,0.9504,0.9585,0.9659,0.9698,0.9698,0.9727,0.8532
3.101,37.5274,36.3497,0.0000,1.5347,0.2255,1.1777,84.0,2886.7,2742.6,2711.5,2875.0,2831.0,2777.9,2800.7,2925.1,2918.3,2974.1,3018.5,2920.5,2944.9,2922.4,2922.4,2928.8,0.9892,0.9222,0.8983,0.9844,0.9613,0.9506,0.9584,0.9988
3.326,35.9624,34.4353,0.0000,1.4044,0.2011,1.5271,83.0,2859.3,2651.1,2741.9,2256.5,2712.8,2697.0,2804.5,2773.4,2926.7,2841.9,2909.0,2920.5,2870.0,2858.0,2887.1,2917.4,0.9770,0.9329,0.9426,0.7726,0.9452,0.9436,0.9714,0.9506
3.569,38.9702,37.4178,0.0000,1.5893,0.2188,1.5524,84.0,2790.8,2862.3,2608.9,2759.1,2722.7,2896.2,2527.9,2587.4,2919.3,2984.3,2930.7,2868.3,2946.8,2977.1,2900.6,2853.5,0.9560,0.9591,0.8902,0.9619,0.9240,0.9728,0.8715,0.9067
3.801,37.0699,35.8092,0.0000,1.4679,0.2151,1.2607,84.0,2871.7,2855.8,2398.7,2646.6,2789.7,2875.9,2813.2,2699.6,2913.3,2925.4,2910.2,2955.0,2938.0,2910.8,2969.0,2982.1,0.9857,0.9762,0.8242,0.8956,0.9495,0.9880,0.9475,0.9053
4.013,33.6819,32.3250,0.0000,1.4062,0.1999,1.3568,85.0,2703.8,2612.9,2658.8,2651.6,2889.1,2495.8,2796.4,2729.5,2835.5,2891.8,2904.7,2915.0,2928.3,2892.2,2920.2,2854.6,0.9536,0.9035,0.9153,0.9097,0.9866,0.8629,0.9576,0.9562
4.262,39.8076,37.6565,0.0000,1.6486,0.2188,2.1512,86.0,2884.8,2738.0,2717.0,2826.3,2770.7,2829.4,2678.6,2833.9,2981.6,2907.1,2906.4,2926.1,2893.3,2912.1,2899.5,2983.2,0.9675,0.9418,0.9348,0.9659,0.9576,0.9716,0.9238,0.9500
4.462,31.9689,31.1694,0.0000,1.2360,0.1862,0.7996,85.0,2800.5,2692.6,2305.2,2521.3,2864.4,2731.2,2627.2,2417.6,2913.5,2868.9,2916.2,2905.4,2912.4,2861.1,2903.2,2866.3,0.9612,0.9385,0.7905,0.8678,0.9835,0.9546,0.9049,0.8434
4.687,35.9405,34.1778,0.0000,1.5625,0.2032,1.7627,86.0,2725.9,2862.9,2628.9,2322.5,2836.0,2806.7,2771.2,2775.8,2910.3,2944.1,2849.5,2840.7,2905.6,2945.5,2853.9,2857.0,0.9366,0.9724,0.9226,0.8176,0.9760,0.9528,0.9711,0.9716
4.925,38.1768,36.7754,0.0000,1.5134,0.2203,1.4014,86.0,2787.2,2790.4,2828.5,2573.6,2806.5,2751.6,2789.7,2732.6,2902.4,2915.0,2964.0,2972.4,2870.2,2885.6,2963.6,2980.9,0.9603,0.9573,0.9543,0.8658,0.9778,0.9536,0.9413,0.9167
