file,experiment,arm,sched,epp_mode,strict,rep,timestamp,ok,exit_code,kernel,on_ac,governor,start_temp_c,wall_s,pkg_j,core_j,uncore_j,dram_j,psys_j,rest_j,avg_pkg_w,pkg_c_mean,pkg_c_max,energy_to_solution_j,edp_js,pkg_j_per_s,rest_frac,partitioned_epp,n_big_cpus,n_little_cpus,big_cpus,little_cpus,smt_pairs_split,bzy_mhz_big_mean,bzy_mhz_little_mean,bzy_ratio_little_over_big,cpu0_avg_mhz,cpu0_bzy_mhz,cpu0_busy,cpu0_epp,cpu1_avg_mhz,cpu1_bzy_mhz,cpu1_busy,cpu1_epp,cpu2_avg_mhz,cpu2_bzy_mhz,cpu2_busy,cpu2_epp,cpu3_avg_mhz,cpu3_bzy_mhz,cpu3_busy,cpu3_epp,cpu4_avg_mhz,cpu4_bzy_mhz,cpu4_busy,cpu4_epp,cpu5_avg_mhz,cpu5_bzy_mhz,cpu5_busy,cpu5_epp,cpu6_avg_mhz,cpu6_bzy_mhz,cpu6_busy,cpu6_epp,cpu7_avg_mhz,cpu7_bzy_mhz,cpu7_busy,cpu7_epp,pinger_present,pinger_n,wake_us_p50,wake_us_p99,wake_us_p999,wake_us_mean,work_us_p50,work_us_p99,work_us_mean,target_work_us,spin_present,spin_threads,spin_miters_total,spin_miters_mean,bls_present,bls_enqueue,bls_dsq_big,bls_dsq_little,bls_cross_domain,bls_run_big_ms,bls_run_little_ms,bls_cross_frac,bls_run_big_frac,bls_run_little_frac,bls_dsq_big_frac,bls_direct_dispatch,bls_elapsed_s,bls_event,bls_local_hit,bls_no_idle_in_domain,bls_reclassify,bls_tasks_big,bls_tasks_little,notes
data/raw/e1-rail/both-balance.rep00.json,e1-rail,both-balance,,both-balance,,0,2026-07-22T11:14:33+00:00,true,0,7.1.4-arch1-1,true,powersave,46,20.003,260.576,244.051,0.012,5.697,3.836,16.513,13.0269,64.5,68,260.576,5212.301728,13.026846,0.063371,false,8,0,0 1 2 3 4 5 6 7,,0,3411.6125,,,3511.6,3587.6,0.9788,128,21.6,3328.1,0.0065,128,3510.6,3587.6,0.9785,128,4.9,3313.4,0.0015,128,2.4,3460.6,0.0007,128,5.7,3314.1,0.0017,128,1,3378.8,0.0004,128,1.7,3322.7,0.0005,128,false,,,,,,,,,,true,2,965.298,482.649,false,,,,,,,,,,,,,,,,,,,one spinner pinned to one CPU of each domain
data/raw/e1-rail/both-balance.rep01.json,e1-rail,both-balance,,both-balance,,1,2026-07-22T11:16:27+00:00,true,0,7.1.4-arch1-1,true,powersave,46,20.0029,261.258,244.821,0.011,5.708,3.848,16.425,13.061,64.9,68,261.258,5225.917648,13.061006,0.062869,false,8,0,0 1 2 3 4 5 6 7,,0,3398.0875,,,3519.9,3588.1,0.981,128,21.6,3322.9,0.0065,128,3518.9,3588.1,0.9807,128,5.1,3310.4,0.0015,128,1,3339.7,0.0003,128,1.4,3324.2,0.0004,128,1.7,3390,0.0006,128,2.6,3321.3,0.0008,128,false,,,,,,,,,,true,2,967.468,483.734,false,,,,,,,,,,,,,,,,,,,one spinner pinned to one CPU of each domain
data/raw/e1-rail/both-balance.rep02.json,e1-rail,both-balance,,both-balance,,2,2026-07-22T11:18:27+00:00,true,0,7.1.4-arch1-1,true,powersave,48,20.0033,260.617,245.917,0,5.618,3.833,14.701,13.0287,66.3,69,260.617,5213.200036,13.0287,0.056408,false,8,0,0 1 2 3 4 5 6 7,,0,3402.525,,,3513.9,3586.9,0.9797,128,30.4,3312.8,0.0092,128,3512.7,3587.3,0.9792,128,5,3325.7,0.0015,128,4,3374,0.0013,128,2.9,3305.6,0.0009,128,3.4,3425.8,0.001,128,8.4,3302.1,0.0026,128,false,,,,,,,,,,true,2,965.743,482.8715,false,,,,,,,,,,,,,,,,,,,one spinner pinned to one CPU of each domain
data/raw/e1-rail/both-balance.rep03.json,e1-rail,both-balance,,both-balance,,3,2026-07-22T11:20:31+00:00,true,0,7.1.4-arch1-1,true,powersave,47,20.0028,260.592,246.219,0.008,5.632,3.813,14.364,13.0277,66.6,71,260.592,5212.569658,13.027776,0.055121,false,8,0,0 1 2 3 4 5 6 7,,0,3422.8375,,,3505.2,3585.4,0.9776,128,30.1,3322.9,0.0091,128,3505,3585.5,0.9775,128,6.2,3325.1,0.0019,128,9.6,3454.5,0.0027,128,3.8,3355,0.0012,128,4,3428.7,0.0012,128,7.2,3325.6,0.0022,128,false,,,,,,,,,,true,2,965.257,482.6285,false,,,,,,,,,,,,,,,,,,,one spinner pinned to one CPU of each domain
data/raw/e1-rail/both-balance.rep04.json,e1-rail,both-balance,,both-balance,,4,2026-07-22T11:22:35+00:00,true,0,7.1.4-arch1-1,true,powersave,48,20.0027,260.983,246.522,0.009,5.632,3.821,14.452,13.0473,67.1,71,260.983,5220.364654,13.047389,0.055375,false,8,0,0 1 2 3 4 5 6 7,,0,3424.5125,,,3506.3,3585.3,0.978,128,31.4,3325.2,0.0094,128,3506.2,3585.3,0.9779,128,5.8,3338.8,0.0018,128,3.4,3489.6,0.001,128,8.2,3333.5,0.0025,128,2.8,3411.9,0.0009,128,8.5,3326.5,0.0026,128,false,,,,,,,,,,true,2,966.556,483.278,false,,,,,,,,,,,,,,,,,,,one spinner pinned to one CPU of each domain
data/raw/e1-rail/both-balance.rep05.json,e1-rail,both-balance,,both-balance,,5,2026-07-22T11:24:48+00:00,true,0,7.1.4-arch1-1,true,powersave,47,20.003,260.942,246.299,0.009,5.632,3.817,14.635,13.0452,67.3,71,260.942,5219.622826,13.045143,0.056085,false,8,0,0 1 2 3 4 5 6 7,,0,3417.2625,,,3506.6,3584.3,0.9783,128,26,3329.9,0.0078,128,3506.6,3584.3,0.9783,128,9.7,3327.5,0.0029,128,5.2,3487.1,0.0015,128,10.3,3312.8,0.0031,128,3.4,3401.9,0.001,128,6,3310.3,0.0019,128,false,,,,,,,,,,true,2,966.849,483.4245,false,,,,,,,,,,,,,,,,,,,one spinner pinned to one CPU of each domain
data/raw/e1-rail/both-balance.rep06.json,e1-rail,both-balance,,both-balance,,6,2026-07-22T11:27:00+00:00,true,0,7.1.4-arch1-1,true,powersave,48,20.0026,261.333,246.96,0,5.618,3.828,14.373,13.065,67,71,261.333,5227.339466,13.064952,0.054999,false,8,0,0 1 2 3 4 5 6 7,,0,3421.075,,,3509.8,3587,0.9785,128,29.5,3323.7,0.0089,128,3509.7,3587,0.9785,128,6.1,3310.4,0.0018,128,6.3,3482.6,0.0018,128,4.9,3316.8,0.0015,128,3.8,3455.7,0.0012,128,7.1,3305.4,0.0021,128,false,,,,,,,,,,true,2,967.868,483.934,false,,,,,,,,,,,,,,,,,,,one spinner pinned to one CPU of each domain
data/raw/e1-rail/both-performance.rep00.json,e1-rail,both-performance,,both-performance,,0,2026-07-22T11:13:39+00:00,true,0,7.1.4-arch1-1,true,powersave,49,20.0018,261.378,244.924,0.017,5.743,3.854,16.437,13.0677,65.8,68,261.378,5228.03048,13.067724,0.062886,false,8,0,0 1 2 3 4 5 6 7,,0,3420.6875,,,3514.2,3587.5,0.9796,0,27,3330.7,0.0081,0,3513.6,3587.5,0.9794,0,7.4,3329.7,0.0022,0,3.7,3439.3,0.0011,0,5.3,3317.6,0.0016,0,6.4,3439.2,0.0018,0,6,3334,0.0018,0,false,,,,,,,,,,true,2,966.582,483.291,false,,,,,,,,,,,,,,,,,,,one spinner pinned to one CPU of each domain
data/raw/e1-rail/both-performance.rep01.json,e1-rail,both-performance,,both-performance,,1,2026-07-22T11:15:33+00:00,true,0,7.1.4-arch1-1,true,powersave,49,20.0014,262.745,246.398,0.017,5.715,3.86,16.33,13.1363,67.3,70,262.745,5255.267843,13.13633,0.062152,false,8,0,0 1 2 3 4 5 6 7,,0,3410.225,,,3519.9,3589.5,0.9806,0,20.1,3330.9,0.006,0,3519,3589.5,0.9803,0,8.3,3331.9,0.0025,0,1.5,3395.9,0.0004,0,2.6,3340.2,0.0008,0,1.7,3371.4,0.0005,0,2.7,3332.5,0.0008,0,false,,,,,,,,,,true,2,967.569,483.7845,false,,,,,,,,,,,,,,,,,,,one spinner pinned to one CPU of each domain
data/raw/e1-rail/both-performance.rep02.json,e1-rail,both-performance,,both-performance,,2,2026-07-22T11:17:31+00:00,true,0,7.1.4-arch1-1,true,powersave,49,20.0013,263.703,247.099,0.068,5.785,3.838,16.536,13.1843,67.3,74,263.703,5274.402814,13.184293,0.062707,false,8,0,0 1 2 3 4 5 6 7,,0,3401.9375,,,3508.6,3586.4,0.9783,0,41.8,3330.7,0.0126,0,3507.3,3586.4,0.9779,0,8.1,3326,0.0024,0,4.2,3342,0.0012,0,9.3,3323.7,0.0028,0,4.7,3385.7,0.0014,0,6.8,3334.6,0.002,0,false,,,,,,,,,,true,2,964.164,482.082,false,,,,,,,,,,,,,,,,,,,one spinner pinned to one CPU of each domain
